"gene","sample","expression"
"Col4a4","GSM2545338",90
"Col4a3","GSM2545338",84
"Mff","GSM2545338",6741
"Daw1","GSM2545338",27
"Trip12","GSM2545338",7182
"Fbxo36","GSM2545338",95
"Slc16a14","GSM2545338",206
"Gm15433","GSM2545338",1
"Rpl19-ps1","GSM2545338",1
"Sp110","GSM2545338",27
"Sp140","GSM2545338",32
"Sp100","GSM2545338",101
"Cab39","GSM2545338",7744
"Gpr55","GSM2545338",4
"Spata3","GSM2545338",18
"Htr2b","GSM2545338",1
"Armc9","GSM2545338",608
"B3gnt7","GSM2545338",14
"Snora75","GSM2545338",11
"Nmur1","GSM2545338",17
"Dis3l2","GSM2545338",788
"Gm6136","GSM2545338",19
"Ecel1","GSM2545338",35
"Prss56","GSM2545338",1
"Kcnj13","GSM2545338",457
"Inpp5d","GSM2545338",170
"Scarna6","GSM2545338",6
"Sag","GSM2545338",8
"Dgkd","GSM2545338",9510
"Gm19582","GSM2545338",64
"Usp40","GSM2545338",1152
"Ugt1a7c","GSM2545338",7
"Dnajb3","GSM2545338",29
"Mroh2a","GSM2545338",17
"Spp2","GSM2545338",6
"Gm29538","GSM2545338",8
"Glrp1","GSM2545338",0
"Sh3bp4","GSM2545338",409
"Gbx2","GSM2545338",3
"Iqca","GSM2545338",33
"Ackr3","GSM2545338",272
"Col6a3","GSM2545338",76
"Rab17","GSM2545338",0
"Ube2f","GSM2545338",1262
"Klhl30","GSM2545338",6
"Twist2","GSM2545338",1
"Hdac4","GSM2545338",1605
"Ndufa10","GSM2545338",3921
"Mir149","GSM2545338",2
"Ankmy1","GSM2545338",16
"Rnpepl1","GSM2545338",1008
"Capn10","GSM2545338",1060
"Gpr35","GSM2545338",37
"Pask","GSM2545338",223
"Hdlbp","GSM2545338",7305
"Farp2","GSM2545338",311
"Stk25","GSM2545338",4709
"Thap4","GSM2545338",433
"D2hgdh","GSM2545338",359
"Pdcd1","GSM2545338",1
"Gm7895","GSM2545338",8
"Fam174a","GSM2545338",1331
"Slco4c1","GSM2545338",14
"Panct2","GSM2545338",19
"Gm6430","GSM2545338",1
"Gin1","GSM2545338",321
"Pam","GSM2545338",1640
"Cntnap5b","GSM2545338",1223
"Cdh20","GSM2545338",858
"Pign","GSM2545338",900
"Gm10193","GSM2545338",2
"Tnfrsf11a","GSM2545338",62
"Gm7160","GSM2545338",18
"Gm20753","GSM2545338",2
"Bcl2","GSM2545338",593
"Vps4b","GSM2545338",2001
"Serpinb5","GSM2545338",6
"Serpinb10","GSM2545338",1
"Gm8141","GSM2545338",13
"Cdh7","GSM2545338",1981
"Cdh19","GSM2545338",665
"Gm8173","GSM2545338",1
"Dsel","GSM2545338",354
"Gm6028","GSM2545338",0
"Nifk","GSM2545338",867
"Clasp1","GSM2545338",2865
"Inhbb","GSM2545338",228
"Gm3551","GSM2545338",0
"Gm28209","GSM2545338",2
"Cfap221","GSM2545338",12
"Sctr","GSM2545338",6
"Tmem37","GSM2545338",23
"En1","GSM2545338",201
"Insig2","GSM2545338",2103
"Ccdc93","GSM2545338",1322
"Htr5b","GSM2545338",21
"Ddx18","GSM2545338",733
"Actr3","GSM2545338",5377
"Slc35f5","GSM2545338",643
"Gpr39","GSM2545338",1
"Mgat5","GSM2545338",3342
"Gm8451","GSM2545338",28
"Tmem163","GSM2545338",1814
"Acmsd","GSM2545338",1
"Zranb3","GSM2545338",199
"Gm28800","GSM2545338",2
"Rpl28-ps1","GSM2545338",25
"Mir128-1","GSM2545338",1
"Lct","GSM2545338",19
"Gm6170","GSM2545338",30
"Thsd7b","GSM2545338",29
"Gm29428","GSM2545338",2
"Cd55","GSM2545338",226
"Gm16083","GSM2545338",30
"C4bp-ps1","GSM2545338",13
"Yod1","GSM2545338",536
"Fcamr","GSM2545338",0
"Dyrk3","GSM2545338",141
"Ikbke","GSM2545338",52
"Srgap2","GSM2545338",7703
"Slc26a9","GSM2545338",0
"Pm20d1","GSM2545338",140
"Rab29","GSM2545338",149
"Cdk18","GSM2545338",519
"Gm29695","GSM2545338",156
"Lemd1","GSM2545338",14
"Gm7241","GSM2545338",2
"Klhdc8a","GSM2545338",586
"Lrrn2","GSM2545338",2602
"Gm29257","GSM2545338",3
"Gm28609","GSM2545338",5
"Plekha6","GSM2545338",4040
"Ren1","GSM2545338",3
"Sox13","GSM2545338",271
"Zbed6","GSM2545338",2780
"Lax1","GSM2545338",3
"Optc","GSM2545338",20
"Prelp","GSM2545338",763
"Gm8618","GSM2545338",1
"Mybph","GSM2545338",9
"Myog","GSM2545338",1
"Ppfia4","GSM2545338",8704
"Tmem183a","GSM2545338",2597
"Kdm5b","GSM2545338",2005
"Ppp1r12b","GSM2545338",2997
"Ube2t","GSM2545338",69
"Ptprv","GSM2545338",5
"Timm17a","GSM2545338",1356
"Csrp1","GSM2545338",7256
"Tnni1","GSM2545338",86
"Lad1","GSM2545338",26
"Pkp1","GSM2545338",3
"Ascl5","GSM2545338",1
"Cacna1s","GSM2545338",37
"Gm15850","GSM2545338",0
"Kif21b","GSM2545338",1239
"Camsap2","GSM2545338",7925
"Kif14","GSM2545338",7
"Gm29485","GSM2545338",1
"Gm19705","GSM2545338",22
"Mif-ps1","GSM2545338",0
"Nr5a2","GSM2545338",0
"Ptprc","GSM2545338",91
"Lhx9","GSM2545338",197
"Dennd1b","GSM2545338",905
"Crb1","GSM2545338",16
"Zbtb41","GSM2545338",1751
"Cfhr2","GSM2545338",3
"Gm5837","GSM2545338",6
"Kcnt2","GSM2545338",83
"Gm5835","GSM2545338",29
"Cdc73","GSM2545338",971
"B3galt2","GSM2545338",1117
"Glrx2","GSM2545338",1712
"Rgs1","GSM2545338",1
"Gm7266","GSM2545338",2
"Rgs18","GSM2545338",6
"Brinp3","GSM2545338",705
"Ptgs2os","GSM2545338",1
"Ptgs2","GSM2545338",41
"Tpr","GSM2545338",5983
"Swt1","GSM2545338",807
"Mir7682","GSM2545338",0
"Rnf2","GSM2545338",1407
"Gm36527","GSM2545338",3
"Edem3","GSM2545338",3702
"Tsen15","GSM2545338",521
"Colgalt2","GSM2545338",98
"Rgl1","GSM2545338",1073
"Arpc5","GSM2545338",2024
"Ncf2","GSM2545338",60
"Nmnat2","GSM2545338",7094
"Lamc2","GSM2545338",59
"Dhx9","GSM2545338",5871
"Rgs16","GSM2545338",469
"Rgsl1","GSM2545338",14
"Zfp648","GSM2545338",2
"Gm9530","GSM2545338",14
"Stx6","GSM2545338",1506
"Xpr1","GSM2545338",3705
"Gm5532","GSM2545338",4
"Acbd6","GSM2545338",706
"Lhx4","GSM2545338",0
"Cep350","GSM2545338",3676
"Fam163a","GSM2545338",47
"Tdrd5","GSM2545338",48
"Nphs2","GSM2545338",15
"Gm2000","GSM2545338",11
"Soat1","GSM2545338",665
"Abl2","GSM2545338",1891
"Fam20b","GSM2545338",2978
"Ralgps2","GSM2545338",2046
"Angptl1","GSM2545338",16
"Rasal2","GSM2545338",2397
"Brinp2","GSM2545338",1043
"Gm4953","GSM2545338",1
"Gm31256","GSM2545338",1
"Rabgap1l","GSM2545338",5694
"Gm6177","GSM2545338",0
"Rc3h1","GSM2545338",3427
"Serpinc1","GSM2545338",2
"Snord47","GSM2545338",18
"Dars2","GSM2545338",607
"Cenpl","GSM2545338",88
"Fasl","GSM2545338",19
"Dnm3","GSM2545338",9579
"Dnm3os","GSM2545338",1
"Prrc2c","GSM2545338",7239
"Fmo2","GSM2545338",354
"Mettl11b","GSM2545338",9
"BC055324","GSM2545338",99
"Sele","GSM2545338",1
"Selp","GSM2545338",0
"F5","GSM2545338",449
"Nme7","GSM2545338",393
"Atp1b1","GSM2545338",50614
"Gm26685","GSM2545338",2
"Dpt","GSM2545338",5
"Gm20743","GSM2545338",216
"Sft2d2","GSM2545338",1147
"Tiprl","GSM2545338",1687
"Rcsd1","GSM2545338",183
"Gm32999","GSM2545338",0
"Dusp27","GSM2545338",15
"Mael","GSM2545338",5
"Gm16418","GSM2545338",5
"Gm16701","GSM2545338",140
"Aldh9a1","GSM2545338",1312
"Mgst3","GSM2545338",1602
"Lrrc52","GSM2545338",4
"Rxrg","GSM2545338",25
"Lmx1a","GSM2545338",50
"Pbx1","GSM2545338",3442
"Asl","GSM2545339",586
"Apod","GSM2545339",10620
"Cyp2d22","GSM2545339",1901
"Klk6","GSM2545339",578
"Fcrls","GSM2545339",237
"Slc2a4","GSM2545339",265
"Exd2","GSM2545339",2513
"Gjc2","GSM2545339",551
"Plp1","GSM2545339",58354
"Gnb4","GSM2545339",1430
"Tnc","GSM2545339",478
"Trf","GSM2545339",14681
"Tubb2b","GSM2545339",2788
"Fads1","GSM2545339",7168
"Lxn","GSM2545339",2089
"Prr18","GSM2545339",1701
"Cmtm5","GSM2545339",1733
"Enpp1","GSM2545339",463
"Clic4","GSM2545339",6429
"Tm6sf2","GSM2545339",157
"Slc20a2","GSM2545339",4712
"Itih3","GSM2545339",3669
"Ptn","GSM2545339",6312
"Prodh","GSM2545339",1202
"Msantd1","GSM2545339",167
"Ugt8a","GSM2545339",3123
"Fbln5","GSM2545339",476
"Trp53inp2","GSM2545339",9319
"Slc7a3","GSM2545339",431
"Dnase1l2","GSM2545339",405
"Icosl","GSM2545339",429
"Rmnd1","GSM2545339",1000
"Tssk5","GSM2545339",75
"Pycr1","GSM2545339",52
"Pla2g3","GSM2545339",125
"Vmn2r1","GSM2545339",34
"Gm29797","GSM2545339",106
"Phyhd1","GSM2545339",1010
"Gpr146","GSM2545339",798
"Mag","GSM2545339",6077
"Tufm","GSM2545339",1804
"Igdcc4","GSM2545339",2394
"Gm10654","GSM2545339",137
"Ncmap","GSM2545339",46
"Etv4","GSM2545339",299
"Fabp7","GSM2545339",645
"Cpsf4l","GSM2545339",72
"Hexa","GSM2545339",1405
"Mfge8","GSM2545339",1742
"Ccdc136","GSM2545339",2971
"Glul","GSM2545339",45228
"Hopx","GSM2545339",4680
"Pigq","GSM2545339",3541
"Vps11","GSM2545339",2635
"Proca1","GSM2545339",200
"Fbxl22","GSM2545339",264
"Sfxn5","GSM2545339",8311
"Hexim2","GSM2545339",416
"Agt","GSM2545339",3760
"Rlbp1","GSM2545339",275
"Jam2","GSM2545339",3592
"Lcat","GSM2545339",1643
"Oxct1","GSM2545339",13330
"Cacna1e","GSM2545339",8888
"Fa2h","GSM2545339",1411
"Plxnb3","GSM2545339",1000
"Lman2l","GSM2545339",1034
"Dpy19l1","GSM2545339",2321
"Kctd21","GSM2545339",722
"Thra","GSM2545339",9138
"Dok3","GSM2545339",188
"Sult1a1","GSM2545339",431
"Rpe","GSM2545339",1242
"Acrbp","GSM2545339",423
"Slc2a9","GSM2545339",65
"Emp2","GSM2545339",1018
"Aipl1","GSM2545339",4
"Uri1","GSM2545339",1888
"Bcs1l","GSM2545339",401
"Rbm3","GSM2545339",5442
"Tra2a","GSM2545339",4133
"Prex1","GSM2545339",4001
"Josd2","GSM2545339",1489
"Tmco3","GSM2545339",1401
"Srebf1","GSM2545339",2014
"Acer2","GSM2545339",450
"Tsga10","GSM2545339",321
"Cyp3a13","GSM2545339",67
"Relt","GSM2545339",636
"Nrep","GSM2545339",28031
"Slc14a1","GSM2545339",1328
"Pnpla2","GSM2545339",934
"Map6d1","GSM2545339",1925
"Ier5","GSM2545339",719
"Bfsp2","GSM2545339",112
"Idi1","GSM2545339",490
"Kat2b","GSM2545339",4854
"Rmdn3","GSM2545339",4465
"Eif4b","GSM2545339",8354
"Grm4","GSM2545339",10111
"Pink1","GSM2545339",15144
"Mettl16","GSM2545339",1078
"Fam193b","GSM2545339",2681
"Rtca","GSM2545339",1300
"Fgfbp1","GSM2545339",47
"Pigs","GSM2545339",2034
"Cfp","GSM2545339",698
"Desi1","GSM2545339",5078
"Gbp4","GSM2545339",150
"Nid1","GSM2545339",862
"Armcx5","GSM2545339",543
"Cryab","GSM2545339",3336
"Prss53","GSM2545339",158
"Car4","GSM2545339",4863
"Gm6277","GSM2545339",138
"Amt","GSM2545339",968
"Zc3h6","GSM2545339",1037
"Aqp4","GSM2545339",18861
"Tmem198b","GSM2545339",603
"Abi3bp","GSM2545339",935
"Xpa","GSM2545339",338
"Aldh6a1","GSM2545339",3494
"Adam1a","GSM2545339",597
"Dynlt1a","GSM2545339",453
"Gatm","GSM2545339",4682
"H2-Q4","GSM2545339",120
"Nras","GSM2545339",1279
"Pla2g4e","GSM2545339",263
"Lpar1","GSM2545339",1856
"Il12rb1","GSM2545339",33
"Enpp6","GSM2545339",503
"Ermn","GSM2545339",4798
"Marcksl1","GSM2545339",905
"Ubqln4","GSM2545339",2967
"Glt8d1","GSM2545339",1099
"Ddx25","GSM2545339",1328
"Gpr17","GSM2545339",807
"Cat","GSM2545339",1980
"Wwox","GSM2545339",743
"Phkg1","GSM2545339",548
"Ppp1r3f","GSM2545339",845
"Mrpl35","GSM2545339",1222
"Nudt9","GSM2545339",1417
"Lypd6","GSM2545339",1051
"Spice1","GSM2545339",693
"Tuba8","GSM2545339",1189
"Spon1","GSM2545339",4131
"Nfya","GSM2545339",944
"Sc5d","GSM2545339",3678
"Aldh18a1","GSM2545339",819
"Ebp","GSM2545339",988
"Srr","GSM2545339",2744
"Gm14827","GSM2545339",304
"Gm31135","GSM2545339",54
"Adam17","GSM2545339",1024
"Slc39a2","GSM2545339",625
"Snn","GSM2545339",4864
"Hnrnpc","GSM2545339",9155
"Srbd1","GSM2545339",412
"Ptp4a1","GSM2545339",1345
"Tppp","GSM2545339",11943
"Stac3","GSM2545339",145
"Emid1","GSM2545339",285
"Cotl1","GSM2545339",2740
"Ovgp1","GSM2545339",566
"Ssx2ip","GSM2545339",2891
"Hsd3b7","GSM2545339",692
"Kazald1","GSM2545339",219
"Omd","GSM2545339",131
"Bcas1","GSM2545339",6143
"Gm9925","GSM2545339",313
"Dleu2","GSM2545339",381
"Chil3","GSM2545339",41
"Deaf1","GSM2545339",1614
"Dusp19","GSM2545339",270
"Gkn3","GSM2545339",69
"Pllp","GSM2545339",1094
"Sox2ot","GSM2545339",727
"Ntf3","GSM2545339",184
"Lum","GSM2545339",231
"Gm20751","GSM2545339",62
"Thnsl2","GSM2545339",152
"Slc2a4rg-ps","GSM2545339",450
"Agpat5","GSM2545339",3454
"Mdk","GSM2545339",711
"Penk","GSM2545339",2992
"Cirbp","GSM2545339",1802
"Aloxe3","GSM2545339",283
"Nudt5","GSM2545339",542
"Serpinb1a","GSM2545339",595
"Mt1","GSM2545339",7318
"Fgfr3","GSM2545339",4039
"Myo1d","GSM2545339",575
"Cd99l2","GSM2545339",3528
"C2cd2","GSM2545339",739
"Brsk2","GSM2545339",5298
"Mrrf","GSM2545339",554
"Snhg4","GSM2545339",248
"Hmgcs1","GSM2545339",6340
"Stk17b","GSM2545339",4338
"Cyp51","GSM2545339",2624
"Gria4","GSM2545339",21512
"Ttyh1","GSM2545339",17860
"Slc13a1","GSM2545339",117
"Phf7","GSM2545339",124
"Get4","GSM2545339",1142
"Gstm1","GSM2545339",6837
"Fbxo31","GSM2545339",2098
"Padi2","GSM2545339",827
"Gnmt","GSM2545339",125
"Paip2b","GSM2545339",3667
"Slc17a9","GSM2545339",11
"Vopp1","GSM2545339",1746
"Ogdhl","GSM2545339",4103
"Dcaf12","GSM2545339",2498
"Rorc","GSM2545339",1007
"Cp","GSM2545339",1345
"Jade2","GSM2545339",1996
"Nbl1","GSM2545339",1772
"Hsph1","GSM2545339",6279
"Serf2","GSM2545339",3611
"Rasgef1a","GSM2545339",3507
"Prrg1","GSM2545339",572
"Etnppl","GSM2545339",5804
"Cyp4f15","GSM2545339",186
"Ankrd29","GSM2545339",1091
"Gm27252","GSM2545339",40
"Kctd2","GSM2545339",2826
"Iigp1","GSM2545339",123
"Ak4","GSM2545339",5210
"Idh2","GSM2545339",1171
"Camkk1","GSM2545339",2589
"Rftn2","GSM2545339",1238
"Igtp","GSM2545339",193
"Bche","GSM2545339",383
"Marcks","GSM2545339",5869
"Pabpc4","GSM2545339",658
"Pmp22","GSM2545339",1385
"Car14","GSM2545339",784
"Serpinh1","GSM2545339",911
"Ppp1r13b","GSM2545339",2269
"Tfrc","GSM2545339",5794
"Smox","GSM2545339",1931
"Tjap1","GSM2545339",874
"Msmo1","GSM2545339",2422
"Slc26a8","GSM2545339",92
"Eml3","GSM2545339",949
"Csf2ra","GSM2545339",368
"Rnf141","GSM2545339",3099
"Slc25a16","GSM2545339",1061
"Echdc1","GSM2545339",1566
"Eid2b","GSM2545339",617
"Piga","GSM2545339",367
"Ccdc149","GSM2545339",1047
"Car15","GSM2545339",536
"Eny2","GSM2545339",2333
"Mroh1","GSM2545339",3320
"Pcyox1l","GSM2545339",570
"Ankrd39","GSM2545339",337
"Timeless","GSM2545339",268
"Sparc","GSM2545339",28108
"Slc7a10","GSM2545339",1308
"Ppp1r2","GSM2545339",4516
"Psmf1","GSM2545339",1159
"Adat1","GSM2545339",255
"Slc6a12","GSM2545339",193
"Snhg3","GSM2545339",210
"Prg4","GSM2545339",293
"Plod1","GSM2545339",876
"Whamm","GSM2545339",761
"Ttpa","GSM2545339",463
"Thbs3","GSM2545339",163
"Gltp","GSM2545339",1100
"Pex6","GSM2545339",1594
"Aim2","GSM2545339",122
"Ednrb","GSM2545339",5524
"Nuf2","GSM2545339",91
"Mog","GSM2545339",1818
"Ccl27a","GSM2545339",2003
"Tac4","GSM2545339",11
"Snhg8","GSM2545339",318
"Ak6","GSM2545339",347
"Kctd20","GSM2545339",2478
"Itgb4","GSM2545339",490
"Zfp810","GSM2545339",464
"Gm33489","GSM2545339",136
"Gna12","GSM2545339",1558
"Cyp4v3","GSM2545339",594
"Pkp4","GSM2545339",9595
"Agpat1","GSM2545339",2283
"Gipr","GSM2545339",42
"Edn3","GSM2545339",182
"Prr15","GSM2545339",33
"Traf1","GSM2545339",162
"Pim2","GSM2545339",1133
"Lrrc8a","GSM2545339",2615
"Erp44","GSM2545339",1564
"Tmem33","GSM2545339",6234
"Fen1","GSM2545339",581
"Tfap4","GSM2545339",243
"Lman2","GSM2545339",3142
"Senp8","GSM2545339",314
"Alg14","GSM2545339",715
"Ddah1","GSM2545339",3832
"Pomt1","GSM2545339",569
"Rab3b","GSM2545339",385
"Lrrc29","GSM2545339",55
"Nqo1","GSM2545339",366
"Gpr137b","GSM2545339",501
"Pcif1","GSM2545339",1740
"Qdpr","GSM2545339",5776
"Dcdc2b","GSM2545339",292
"Rap2a","GSM2545339",1883
"Cnpy4","GSM2545339",544
"Wdr41","GSM2545339",1311
"Gm20627","GSM2545339",34
"Mmaa","GSM2545339",1443
"Gm13562","GSM2545339",34
"Cd70","GSM2545339",27
"Itm2a","GSM2545339",2347
"Avil","GSM2545339",68
"Zscan22","GSM2545339",462
"Itgb3","GSM2545339",74
"Col11a2","GSM2545339",582
"Apoc1","GSM2545339",45
"Tmeff2","GSM2545339",1974
"Tyro3","GSM2545339",6248
"Ift22","GSM2545339",1127
"Mtmr7","GSM2545339",2523
"Gabrr2","GSM2545339",60
"Ube2v2","GSM2545339",1702
"C77080","GSM2545339",1027
"Elovl5","GSM2545339",4502
"Serinc5","GSM2545339",2584
"Pyroxd2","GSM2545339",153
"Ypel2","GSM2545339",1940
"Parp3","GSM2545339",376
"Xpo1","GSM2545339",5832
"Polr2a","GSM2545339",3714
"Tspyl4","GSM2545339",29818
"Irgm1","GSM2545339",343
"Cep131","GSM2545339",774
"Sema4d","GSM2545339",3294
"Gbp6","GSM2545339",260
"Zfp119b","GSM2545339",184
"Eps15","GSM2545339",13768
"Pxmp2","GSM2545339",222
"Tomm40l","GSM2545339",1975
"Atat1","GSM2545339",948
"Chrac1","GSM2545339",366
"Mrpl24","GSM2545339",1531
"Ipo9","GSM2545339",5795
"Actg1","GSM2545339",6879
"Noxred1","GSM2545339",105
"Gm20501","GSM2545339",125
"H2-K1","GSM2545339",953
"Lig1","GSM2545339",552
"Morn2","GSM2545339",227
"Dcakd","GSM2545339",849
"Nop14","GSM2545339",915
"Bbs1","GSM2545339",1289
"Tada2b","GSM2545339",1167
"Gal3st1","GSM2545339",266
"Xpc","GSM2545339",640
"Irf2bp2","GSM2545339",2616
"Spns2","GSM2545339",1806
"Pole","GSM2545339",107
"Fam78b","GSM2545339",1383
"Ggcx","GSM2545339",737
"Anks1","GSM2545339",2010
"Pgm2","GSM2545339",3548
"Zgrf1","GSM2545339",405
"Alkbh3","GSM2545339",412
"Dnd1","GSM2545339",85
"Lime1","GSM2545339",2517
"Trim23","GSM2545339",4062
"Abhd14a","GSM2545339",468
"Zkscan3","GSM2545339",1751
"Fam131b","GSM2545339",6580
"Elovl1","GSM2545339",595
"Trim72","GSM2545339",31
"Klhdc9","GSM2545339",83
"Iqck","GSM2545339",89
"Smim14","GSM2545339",5323
"Kcnab3","GSM2545339",1683
"Ing5","GSM2545339",484
"Cnnm3","GSM2545339",1858
"Fn3k","GSM2545339",1046
"Cnp","GSM2545339",13190
"Uros","GSM2545339",662
"Eml1","GSM2545339",2565
"Lgals3","GSM2545339",53
"Gjb1","GSM2545339",686
"Dynll1","GSM2545339",2790
"Cyp2j12","GSM2545339",110
"Crip3","GSM2545339",39
"Sbk1","GSM2545339",18641
"Camkk2","GSM2545339",9139
"Setd7","GSM2545339",13413
"Btf3l4","GSM2545339",1736
"Acbd4","GSM2545339",1238
"Gm16835","GSM2545339",151
"Gpr37","GSM2545339",1986
"Prr5l","GSM2545339",508
"Slain1","GSM2545339",1853
"Calr","GSM2545339",10476
"Bst1","GSM2545339",14
"Fmnl3","GSM2545339",351
"Gpr89","GSM2545339",670
"Zranb1","GSM2545339",5306
"Col27a1","GSM2545339",1061
"Emc8","GSM2545339",2564
"Ormdl3","GSM2545339",2574
"Capg","GSM2545339",78
"Zbtb21","GSM2545339",924
"Sord","GSM2545339",733
"Tsc22d1","GSM2545339",10100
"Gpld1","GSM2545339",2871
"Cdh4","GSM2545339",702
"Hkdc1","GSM2545339",48
"Ggact","GSM2545339",1102
"Zfp493","GSM2545339",182
"Mkks","GSM2545339",1516
"Gm15423","GSM2545339",65
"Npas2","GSM2545339",220
"Plin4","GSM2545339",318
"Rragc","GSM2545339",2480
"Nsun3","GSM2545339",385
"Hgsnat","GSM2545339",2386
"Acr","GSM2545339",31
"Ccdc167","GSM2545339",987
"Thap1","GSM2545339",387
"Egfl8","GSM2545339",147
"Vps33a","GSM2545339",3796
"Igbp1","GSM2545339",1307
"Tbx6","GSM2545339",87
"Dcst2","GSM2545339",19
"Rbm28","GSM2545339",1877
"Pms1","GSM2545339",408
"Rtcb","GSM2545339",3747
"Smad9","GSM2545339",1470
"Ubxn2b","GSM2545339",771
"Rnf170","GSM2545339",1507
"Pithd1","GSM2545339",2021
"Steap3","GSM2545339",82
"Tomm20","GSM2545339",7723
"Klf15","GSM2545339",1152
"Amz2","GSM2545339",1475
"Folh1","GSM2545339",718
"Ubfd1","GSM2545339",3213
"Gpx3","GSM2545339",476
"C4b","GSM2545339",773
"Mdfi","GSM2545339",342
"Nucb2","GSM2545339",294
"Clip4","GSM2545339",1373
"Tipin","GSM2545339",478
"Amy1","GSM2545339",898
"Efhd1","GSM2545339",1377
"Smim15","GSM2545339",2175
"Zfp658","GSM2545339",616
"E2f6","GSM2545339",1914
"Lix1","GSM2545339",447
"Coq4","GSM2545339",301
"Otoa","GSM2545339",47
"Mex3a","GSM2545339",191
"Tmem132c","GSM2545339",998
"Dclk1","GSM2545339",15189
"Eml2","GSM2545339",3375
"Glyr1","GSM2545339",6953
"Gm1976","GSM2545339",312
"Smyd3","GSM2545339",998
"Dcaf8","GSM2545339",7038
"Lias","GSM2545339",982
"Msn","GSM2545339",2487
"Timmdc1","GSM2545339",554
"H2-Q6","GSM2545339",57
"Asic3","GSM2545339",43
"Col5a3","GSM2545339",282
"Stx3","GSM2545339",2353
"AW046200","GSM2545339",121
"Hsf1","GSM2545339",1374
"Colq","GSM2545339",120
"Rcor3","GSM2545339",1171
"Slc6a20a","GSM2545339",646
"Prps1","GSM2545339",2034
"Keap1","GSM2545339",1755
"Tap2","GSM2545339",319
"Slc16a7","GSM2545339",1297
"Eif2b3","GSM2545339",485
"Flywch1","GSM2545339",11077
"Amigo2","GSM2545339",784
"Hspd1","GSM2545339",7070
"Sost","GSM2545339",29
"Gm8615","GSM2545339",27
"Kcnk13","GSM2545339",175
"Tspyl2","GSM2545339",4626
"Spsb3","GSM2545339",2029
"Gm8493","GSM2545339",35
"Fgf22","GSM2545339",64
"Slc6a6","GSM2545339",3913
"Xist","GSM2545339",32182
"Ddx3y","GSM2545339",0
"Eif2s3y","GSM2545339",0
"Kdm5d","GSM2545339",0
"Uty","GSM2545339",0
"Eif2s3x","GSM2545339",2519
"Kdm6a","GSM2545339",3246
"Casp12","GSM2545339",301
"Ddx3x","GSM2545339",25909
"Prl2c3","GSM2545339",91
"Casp1","GSM2545339",105
"Pbdc1","GSM2545339",577
"Kdm5c","GSM2545339",4685
"Ctxn2","GSM2545339",194
"Ldoc1","GSM2545339",347
"Gpr179","GSM2545339",46
"Pou4f1","GSM2545339",66
"Tmprss3","GSM2545339",36
"Prl2c2","GSM2545339",19
"Slc35b1","GSM2545339",1294
"Myoc","GSM2545339",347
"Cartpt","GSM2545339",102
"Tchh","GSM2545339",86
"H2-Q2","GSM2545339",53
"Ascl1","GSM2545339",71
"Crhr1","GSM2545339",2768
"Gm4017","GSM2545339",3
"Impg1","GSM2545339",39
"Rxfp3","GSM2545339",35
"AI504432","GSM2545339",1284
"Mpo","GSM2545339",14
"Oxtr","GSM2545339",27
"Usp2","GSM2545339",3345
"Lor","GSM2545339",20
"Srrm4","GSM2545339",3019
"Slc35g1","GSM2545339",140
"Tceal6","GSM2545339",1142
"Dach2","GSM2545339",113
"Lgr6","GSM2545339",323
"Kcna4","GSM2545339",221
"Zfyve28","GSM2545339",2623
"Hps4","GSM2545339",693
"Ucp3","GSM2545339",82
"Mettl17","GSM2545339",721
"Atg9b","GSM2545339",121
"Usp3","GSM2545339",4347
"Acta2","GSM2545339",204
"Wdr24","GSM2545339",545
"Zw10","GSM2545339",1376
"Ubtd2","GSM2545339",1705
"Slc6a4","GSM2545339",373
"Cog1","GSM2545339",1796
"S100a9","GSM2545339",210
"Nadk","GSM2545339",2286
"Col6a1","GSM2545339",412
"Susd2","GSM2545339",338
"Fam53b","GSM2545339",2164
"Npas1","GSM2545339",62
"Rhbdf1","GSM2545339",399
"Cacnb1","GSM2545339",740
"Zfp579","GSM2545339",761
"Dtx4","GSM2545339",1021
"Chrm3","GSM2545339",197
"Plcl2","GSM2545339",1662
"Ptprj","GSM2545339",2664
"Cyhr1","GSM2545339",5583
"Stx5a","GSM2545339",2187
"Smim8","GSM2545339",410
"Pappa2","GSM2545339",10
"Stbd1","GSM2545339",29
"Rln3","GSM2545339",20
"Ldlr","GSM2545339",1151
"Bmp2","GSM2545339",69
"Itga10","GSM2545339",236
"Unc45a","GSM2545339",1306
"Hap1","GSM2545339",3849
"Gm35339","GSM2545339",307
"Serpinb8","GSM2545339",77
"Tmem200c","GSM2545339",234
"Ngb","GSM2545339",135
"Myh11","GSM2545339",231
"Ass1","GSM2545339",531
"Ccdc28b","GSM2545339",1293
"Vsx2","GSM2545339",19
"Klhl1","GSM2545339",458
"Slit1","GSM2545339",400
"Rbm10","GSM2545339",2456
"Sgk1","GSM2545339",5212
"Zbtb24","GSM2545339",612
"Kif5a","GSM2545339",40585
"Alox8","GSM2545339",127
"Rgcc","GSM2545339",293
"Olfr1033","GSM2545339",43
"Lrrn4","GSM2545339",10
"Trim59","GSM2545339",918
"Pnma2","GSM2545339",578
"Arc","GSM2545339",789
"Lypd6b","GSM2545339",231
"Prkar2b","GSM2545339",1054
"Gabrd","GSM2545339",4960
"Sh3gl1","GSM2545339",1385
"Rab9b","GSM2545339",1137
