Ensembl Gene ID	Associated Gene Name	Description	EntrezGene ID
ENSMUSG00000080756	Gm12633	predicted gene 12633 [Source:MGI Symbol;Acc:MGI:3650768]	
ENSMUSG00000036046	5031439G07Rik	RIKEN cDNA 5031439G07 gene [Source:MGI Symbol;Acc:MGI:2444899]	223739
ENSMUSG00000085162	Gm12295	predicted gene 12295 [Source:MGI Symbol;Acc:MGI:3650535]	
ENSMUSG00000055452	Gm7353	predicted pseudogene 7353 [Source:MGI Symbol;Acc:MGI:3643014]	
ENSMUSG00000105038	Gm43044	predicted gene 43044 [Source:MGI Symbol;Acc:MGI:5663181]	
ENSMUSG00000107385	C330024D21Rik	RIKEN cDNA C330024D21 gene [Source:MGI Symbol;Acc:MGI:2444116]	
ENSMUSG00000004296	Il12b	interleukin 12b [Source:MGI Symbol;Acc:MGI:96540]	16160
ENSMUSG00000107523	Gm44451	predicted gene, 44451 [Source:MGI Symbol;Acc:MGI:5690843]	
ENSMUSG00000100878	Gm29196	predicted gene 29196 [Source:MGI Symbol;Acc:MGI:5579902]	
ENSMUSG00000082569	Gm12634	predicted gene 12634 [Source:MGI Symbol;Acc:MGI:3650769]	
ENSMUSG00000086473	Gm16265	predicted gene 16265 [Source:MGI Symbol;Acc:MGI:3826571]	
ENSMUSG00000108044	Gm44459	predicted gene, 44459 [Source:MGI Symbol;Acc:MGI:5690851]	
ENSMUSG00000099721	Gm28435	predicted gene 28435 [Source:MGI Symbol;Acc:MGI:5579141]	
ENSMUSG00000101619	Gm28436	predicted gene 28436 [Source:MGI Symbol;Acc:MGI:5579142]	
ENSMUSG00000083698	Gm12687	predicted gene 12687 [Source:MGI Symbol;Acc:MGI:3650435]	
ENSMUSG00000107956	Speer9-ps1	spermatogenesis associated glutamate (E)-rich protein 9, pseudogene 1 [Source:MGI Symbol;Acc:MGI:1921199]	
ENSMUSG00000100710	Gm29197	predicted gene 29197 [Source:MGI Symbol;Acc:MGI:5579903]	
ENSMUSG00000093554	Obox4-ps26	oocyte specific homeobox 4, pseudogene 26 [Source:MGI Symbol;Acc:MGI:5313070]	
ENSMUSG00000078598	Skint5	selection and upkeep of intraepithelial T cells 5 [Source:MGI Symbol;Acc:MGI:3650151]	242627
ENSMUSG00000047324	4931429P17Rik	RIKEN cDNA 4931429P17 gene [Source:MGI Symbol;Acc:MGI:1918221]	
ENSMUSG00000100292	Gm29198	predicted gene 29198 [Source:MGI Symbol;Acc:MGI:5579904]	
