Ensembl Gene ID	Associated Gene Name	Description	EntrezGene ID
ENSMUSG00000108691	RP24-191C15.2		
ENSMUSG00000087057	Gm11730	predicted gene 11730 [Source:MGI Symbol;Acc:MGI:3650941]	
ENSMUSG00000040703	Cyp2s1	cytochrome P450, family 2, subfamily s, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1921384]	74134
ENSMUSG00000082774	Gm8805	predicted gene 8805 [Source:MGI Symbol;Acc:MGI:3643512]	
ENSMUSG00000026097	Ormdl1	ORM1-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2181669]	227102
ENSMUSG00000032261	Sh3bgrl2	SH3 domain binding glutamic acid-rich protein like 2 [Source:MGI Symbol;Acc:MGI:1915350]	212531
ENSMUSG00000093804	Olfr1303	olfactory receptor 1303 [Source:MGI Symbol;Acc:MGI:3031137]	258397
ENSMUSG00000093804	Olfr1303	olfactory receptor 1303 [Source:MGI Symbol;Acc:MGI:3031137]	105242462
ENSMUSG00000106807	Gm10441	predicted gene 10441 [Source:MGI Symbol;Acc:MGI:3641801]	
ENSMUSG00000021493	Pdlim7	PDZ and LIM domain 7 [Source:MGI Symbol;Acc:MGI:1914649]	67399
ENSMUSG00000105971	Gm43805	predicted gene 43805 [Source:MGI Symbol;Acc:MGI:5663942]	
ENSMUSG00000052229	Gpr17	G protein-coupled receptor 17 [Source:MGI Symbol;Acc:MGI:3584514]	574402
ENSMUSG00000099913	Gm28551	predicted gene 28551 [Source:MGI Symbol;Acc:MGI:5579257]	
ENSMUSG00000104687	Gm42899	predicted gene 42899 [Source:MGI Symbol;Acc:MGI:5663036]	
ENSMUSG00000104850	Gm42901	predicted gene 42901 [Source:MGI Symbol;Acc:MGI:5663038]	
ENSMUSG00000042462	Dctpp1	dCTP pyrophosphatase 1 [Source:MGI Symbol;Acc:MGI:1913672]	66422
ENSMUSG00000104968	Gm43803	predicted gene 43803 [Source:MGI Symbol;Acc:MGI:5663940]	
ENSMUSG00000101838	Gm18800	predicted gene, 18800 [Source:MGI Symbol;Acc:MGI:5010985]	
ENSMUSG00000027800	Tm4sf1	transmembrane 4 superfamily member 1 [Source:MGI Symbol;Acc:MGI:104678]	17112
ENSMUSG00000048332	Lhfp	lipoma HMGIC fusion partner [Source:MGI Symbol;Acc:MGI:1920048]	108927
ENSMUSG00000098421	Gm27190	predicted gene 27190 [Source:MGI Symbol;Acc:MGI:5521033]	
ENSMUSG00000106968	C78283	expressed sequence C78283 [Source:MGI Symbol;Acc:MGI:2141303]	
ENSMUSG00000055069	Rab39	RAB39, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:2442855]	270160
ENSMUSG00000099178	Gm8669	predicted gene 8669 [Source:MGI Symbol;Acc:MGI:3643440]	
ENSMUSG00000026096	Osgepl1	O-sialoglycoprotein endopeptidase-like 1 [Source:MGI Symbol;Acc:MGI:1919335]	72085
ENSMUSG00000059355	Wdr83os	WD repeat domain 83 opposite strand [Source:MGI Symbol;Acc:MGI:3041257]	414077
ENSMUSG00000059355	Wdr83os	WD repeat domain 83 opposite strand [Source:MGI Symbol;Acc:MGI:3041257]	100040052
ENSMUSG00000102116	Gm28887	predicted gene 28887 [Source:MGI Symbol;Acc:MGI:5579593]	
ENSMUSG00000082465	Rps6-ps3	ribosomal protein S6, pseudogene 3 [Source:MGI Symbol;Acc:MGI:3643565]	
ENSMUSG00000102587	Ighv1-13	immunoglobulin heavy variable V1-13 [Source:MGI Symbol;Acc:MGI:5009907]	
ENSMUSG00000026692	Fmo4	flavin containing monooxygenase 4 [Source:MGI Symbol;Acc:MGI:2429497]	226564
ENSMUSG00000101649	Gm29444	predicted gene 29444 [Source:MGI Symbol;Acc:MGI:5580150]	
ENSMUSG00000097017	Gm26707	predicted gene, 26707 [Source:MGI Symbol;Acc:MGI:5477201]	
ENSMUSG00000039759	Thap3	THAP domain containing, apoptosis associated protein 3 [Source:MGI Symbol;Acc:MGI:1917126]	69876
ENSMUSG00000104828	Gm42898	predicted gene 42898 [Source:MGI Symbol;Acc:MGI:5663035]	
ENSMUSG00000099784	Dalir	DNMT1 associated long intergenic non-coding RNA [Source:MGI Symbol;Acc:MGI:5579231]	
ENSMUSG00000104735	C130075A20Rik	RIKEN cDNA C130075A20 gene [Source:MGI Symbol;Acc:MGI:2443940]	
ENSMUSG00000109423	Olfr1304-ps1	olfactory receptor 1304, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3031138]	
ENSMUSG00000023944	Hsp90ab1	heat shock protein 90 alpha (cytosolic), class B member 1 [Source:MGI Symbol;Acc:MGI:96247]	15516
ENSMUSG00000104615	Gm43804	predicted gene 43804 [Source:MGI Symbol;Acc:MGI:5663941]	
ENSMUSG00000106078	Gm43697	predicted gene 43697 [Source:MGI Symbol;Acc:MGI:5663834]	
ENSMUSG00000076873	Trdv5	T cell receptor delta variable 5 [Source:MGI Symbol;Acc:MGI:3704133]	
ENSMUSG00000097980	Gm26972	predicted gene, 26972 [Source:MGI Symbol;Acc:MGI:5504087]	
ENSMUSG00000086965	Gm16314	predicted gene 16314 [Source:MGI Symbol;Acc:MGI:3833934]	
ENSMUSG00000033767	D930015E06Rik	RIKEN cDNA D930015E06 gene [Source:MGI Symbol;Acc:MGI:2443399]	229473
ENSMUSG00000072596	Ear2	eosinophil-associated, ribonuclease A family, member 2 [Source:MGI Symbol;Acc:MGI:108020]	13587
ENSMUSG00000072596	Ear2	eosinophil-associated, ribonuclease A family, member 2 [Source:MGI Symbol;Acc:MGI:108020]	53876
ENSMUSG00000072596	Ear2	eosinophil-associated, ribonuclease A family, member 2 [Source:MGI Symbol;Acc:MGI:108020]	503845
ENSMUSG00000025945	Crygf	crystallin, gamma F [Source:MGI Symbol;Acc:MGI:88526]	12969
ENSMUSG00000076871	Trdj2	T cell receptor delta joining 2 [Source:MGI Symbol;Acc:MGI:4887422]	
ENSMUSG00000106112	Gm43434	predicted gene 43434 [Source:MGI Symbol;Acc:MGI:5663571]	
ENSMUSG00000098136	Gm8513	predicted gene 8513 [Source:MGI Symbol;Acc:MGI:3648246]	
ENSMUSG00000104876	Trdc	T cell receptor delta, constant region [Source:MGI Symbol;Acc:MGI:98612]	
ENSMUSG00000084052	Gm11745	predicted gene 11745 [Source:MGI Symbol;Acc:MGI:3649528]	
ENSMUSG00000049091	Sephs2	selenophosphate synthetase 2 [Source:MGI Symbol;Acc:MGI:108388]	20768
ENSMUSG00000108806	RP24-443B5.5		
ENSMUSG00000044243	Bhlha9	basic helix-loop-helix family, member a9 [Source:MGI Symbol;Acc:MGI:2444198]	320522
ENSMUSG00000090594	Gm3327	predicted gene 3327 [Source:MGI Symbol;Acc:MGI:3781505]	
ENSMUSG00000043119	Olfr448	olfactory receptor 448 [Source:MGI Symbol;Acc:MGI:3030282]	258270
ENSMUSG00000100155	Gm2109	predicted gene 2109 [Source:MGI Symbol;Acc:MGI:3780277]	
ENSMUSG00000020823	Sec14l1	SEC14-like lipid binding 1 [Source:MGI Symbol;Acc:MGI:1921386]	74136
ENSMUSG00000045708	Olfr447	olfactory receptor 447 [Source:MGI Symbol;Acc:MGI:3030281]	258990
ENSMUSG00000108548	RP23-235M8.6		
ENSMUSG00000032280	Tle3	transducin-like enhancer of split 3, homolog of Drosophila E(spl) [Source:MGI Symbol;Acc:MGI:104634]	21887
ENSMUSG00000020532	Acaca	acetyl-Coenzyme A carboxylase alpha [Source:MGI Symbol;Acc:MGI:108451]	107476
ENSMUSG00000074067	Gm10619	predicted gene 10619 [Source:MGI Symbol;Acc:MGI:3708756]	
ENSMUSG00000057723	Krt33b	keratin 33B [Source:MGI Symbol;Acc:MGI:1309991]	16671
ENSMUSG00000001128	Cfp	complement factor properdin [Source:MGI Symbol;Acc:MGI:97545]	18636
ENSMUSG00000062169	Cnih4	cornichon family AMPA receptor auxiliary protein 4 [Source:MGI Symbol;Acc:MGI:1925828]	98417
ENSMUSG00000024013	Fgd2	FYVE, RhoGEF and PH domain containing 2 [Source:MGI Symbol;Acc:MGI:1347084]	26382
ENSMUSG00000073111	Olfr446	olfactory receptor 446 [Source:MGI Symbol;Acc:MGI:3030280]	258292
ENSMUSG00000031245	Hmgn5	high-mobility group nucleosome binding domain 5 [Source:MGI Symbol;Acc:MGI:1355295]	50887
ENSMUSG00000046167	Gldn	gliomedin [Source:MGI Symbol;Acc:MGI:2388361]	235379
ENSMUSG00000098501	Gm19272	predicted gene, 19272 [Source:MGI Symbol;Acc:MGI:5011457]	
ENSMUSG00000085998	AW822252	expressed sequence AW822252 [Source:MGI Symbol;Acc:MGI:2148030]	
ENSMUSG00000106586	1700013M08Rik	RIKEN cDNA 1700013M08 gene [Source:MGI Symbol;Acc:MGI:1922755]	
ENSMUSG00000087233	4930594C11Rik	RIKEN cDNA 4930594C11 gene [Source:MGI Symbol;Acc:MGI:1924883]	
ENSMUSG00000083059	Olfr268-ps1	olfactory receptor 268, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3030102]	
ENSMUSG00000100679	Gm28778	predicted gene 28778 [Source:MGI Symbol;Acc:MGI:5579484]	
ENSMUSG00000101079	Gm28991	predicted gene 28991 [Source:MGI Symbol;Acc:MGI:5579697]	
ENSMUSG00000020629	Adi1	acireductone dioxygenase 1 [Source:MGI Symbol;Acc:MGI:2144929]	104923
ENSMUSG00000083457	Cyp4b1-ps2	cytochrome P450, family 4, subfamily b, polypeptide 1, pseudogene 2 [Source:MGI Symbol;Acc:MGI:3649236]	
ENSMUSG00000057315	Arhgap24	Rho GTPase activating protein 24 [Source:MGI Symbol;Acc:MGI:1922647]	231532
ENSMUSG00000026095	Asnsd1	asparagine synthetase domain containing 1 [Source:MGI Symbol;Acc:MGI:1917646]	70396
ENSMUSG00000103948	4930594C11Rik	RIKEN cDNA 4930594C11 gene [Source:MGI Symbol;Acc:MGI:1924883]	
ENSMUSG00000104422	Ighv1-14	immunoglobulin heavy variable 1-14 [Source:MGI Symbol;Acc:MGI:4439781]	
ENSMUSG00000024998	Plce1	phospholipase C, epsilon 1 [Source:MGI Symbol;Acc:MGI:1921305]	74055
ENSMUSG00000107517	Gm44046	predicted gene, 44046 [Source:MGI Symbol;Acc:MGI:5690438]	
ENSMUSG00000086087	Gm12916	predicted gene 12916 [Source:MGI Symbol;Acc:MGI:3649992]	
ENSMUSG00000107493	Gm44048	predicted gene, 44048 [Source:MGI Symbol;Acc:MGI:5690440]	
ENSMUSG00000086955	1700021L23Rik	RIKEN cDNA 1700021L23 gene [Source:MGI Symbol;Acc:MGI:1923660]	
ENSMUSG00000090460	Gm17511	predicted gene, 17511 [Source:MGI Symbol;Acc:MGI:4937145]	
ENSMUSG00000091048	Gm8207	predicted gene 8207 [Source:MGI Symbol;Acc:MGI:3646502]	
ENSMUSG00000108157	Olrf445-ps1	olfactory receptor 445, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3030279]	
ENSMUSG00000040181	Fmo1	flavin containing monooxygenase 1 [Source:MGI Symbol;Acc:MGI:1310002]	14261
ENSMUSG00000035354	Uvrag	UV radiation resistance associated gene [Source:MGI Symbol;Acc:MGI:1925860]	78610
ENSMUSG00000074343	Gldnos	gliomedin, opposite strand [Source:MGI Symbol;Acc:MGI:1920817]	
ENSMUSG00000010453	Kansl3	KAT8 regulatory NSL complex subunit 3 [Source:MGI Symbol;Acc:MGI:1918055]	226976
ENSMUSG00000101802	Gm29445	predicted gene 29445 [Source:MGI Symbol;Acc:MGI:5580151]	
ENSMUSG00000081623	Gm8809	predicted gene 8809 [Source:MGI Symbol;Acc:MGI:3645410]	
ENSMUSG00000083242	Gm15659	predicted gene 15659 [Source:MGI Symbol;Acc:MGI:3801822]	
ENSMUSG00000061959	Ces1e	carboxylesterase 1E [Source:MGI Symbol;Acc:MGI:95432]	13897
ENSMUSG00000083289	Gm8812	predicted gene 8812 [Source:MGI Symbol;Acc:MGI:3643091]	
ENSMUSG00000056812	St8sia3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3 [Source:MGI Symbol;Acc:MGI:106019]	20451
ENSMUSG00000040987	Mill2	MHC I like leukocyte 2 [Source:MGI Symbol;Acc:MGI:2179989]	243864
ENSMUSG00000038241	Cep250	centrosomal protein 250 [Source:MGI Symbol;Acc:MGI:108084]	16328
ENSMUSG00000056509	Gm9999	predicted gene 9999 [Source:MGI Symbol;Acc:MGI:3642801]	
ENSMUSG00000044499	Hs3st5	heparan sulfate (glucosamine) 3-O-sulfotransferase 5 [Source:MGI Symbol;Acc:MGI:2441996]	319415
ENSMUSG00000003308	Keap1	kelch-like ECH-associated protein 1 [Source:MGI Symbol;Acc:MGI:1858732]	50868
ENSMUSG00000020151	Ptprr	protein tyrosine phosphatase, receptor type, R [Source:MGI Symbol;Acc:MGI:109559]	19279
ENSMUSG00000086128	St8sia3os	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3, opposite strand [Source:MGI Symbol;Acc:MGI:1920838]	
ENSMUSG00000072595	4930503E14Rik	RIKEN cDNA 4930503E14 gene [Source:MGI Symbol;Acc:MGI:1922204]	74954
ENSMUSG00000001909	Trmt1	tRNA methyltransferase 1 [Source:MGI Symbol;Acc:MGI:1289155]	212528
ENSMUSG00000099790	Gm28457	predicted gene 28457 [Source:MGI Symbol;Acc:MGI:5579163]	
ENSMUSG00000058056	Palld	palladin, cytoskeletal associated protein [Source:MGI Symbol;Acc:MGI:1919583]	72333
ENSMUSG00000074955	Olfr1305	olfactory receptor 1305 [Source:MGI Symbol;Acc:MGI:3031139]	258396
ENSMUSG00000099407	1700060O08Rik	RIKEN cDNA 1700060O08 gene [Source:MGI Symbol;Acc:MGI:1914585]	
ENSMUSG00000085300	Gm16345	predicted gene 16345 [Source:MGI Symbol;Acc:MGI:3840130]	
ENSMUSG00000094543	Gm8212	predicted gene 8212 [Source:MGI Symbol;Acc:MGI:3643591]	
ENSMUSG00000084824	Gm16344	predicted gene 16344 [Source:MGI Symbol;Acc:MGI:3840129]	
ENSMUSG00000108760	RP24-443B5.7		
ENSMUSG00000024388	Myo7b	myosin VIIB [Source:MGI Symbol;Acc:MGI:107709]	17922
ENSMUSG00000086978	4933435F18Rik	RIKEN cDNA 4933435F18 gene [Source:MGI Symbol;Acc:MGI:1918570]	
ENSMUSG00000026958	Dpp7	dipeptidylpeptidase 7 [Source:MGI Symbol;Acc:MGI:1933213]	83768
ENSMUSG00000103254	Ighv1-15	immunoglobulin heavy variable 1-15 [Source:MGI Symbol;Acc:MGI:4439782]	
ENSMUSG00000097439	Gm16754	predicted gene, 16754 [Source:MGI Symbol;Acc:MGI:4439678]	
ENSMUSG00000021843	Ktn1	kinectin 1 [Source:MGI Symbol;Acc:MGI:109153]	16709
ENSMUSG00000042529	Kcnj12	potassium inwardly-rectifying channel, subfamily J, member 12 [Source:MGI Symbol;Acc:MGI:108495]	16515
ENSMUSG00000052142	Rasal3	RAS protein activator like 3 [Source:MGI Symbol;Acc:MGI:2444128]	320484
ENSMUSG00000085761	4930455G09Rik	RIKEN cDNA 4930455G09 gene [Source:MGI Symbol;Acc:MGI:1926167]	
ENSMUSG00000030781	Slc5a2	solute carrier family 5 (sodium/glucose cotransporter), member 2 [Source:MGI Symbol;Acc:MGI:2181411]	246787
ENSMUSG00000109130	RP23-16L19.4		
ENSMUSG00000096566	Olfr1306	olfactory receptor 1306 [Source:MGI Symbol;Acc:MGI:3031140]	258023
ENSMUSG00000073110	Olfr444	olfactory receptor 444 [Source:MGI Symbol;Acc:MGI:3030278]	258650
ENSMUSG00000109073	RP24-252O10.3		
ENSMUSG00000109282	RP23-16L19.5		
ENSMUSG00000027291	Vps39	vacuolar protein sorting 39 (yeast) [Source:MGI Symbol;Acc:MGI:2443189]	269338
ENSMUSG00000109492	RP24-252O10.1		
ENSMUSG00000106973	Gm43415	predicted gene 43415 [Source:MGI Symbol;Acc:MGI:5663552]	
ENSMUSG00000094051	Ighv1-36	immunoglobulin heavy variable 1-36 [Source:MGI Symbol;Acc:MGI:4439639]	
ENSMUSG00000054814	Usp46	ubiquitin specific peptidase 46 [Source:MGI Symbol;Acc:MGI:1916977]	69727
ENSMUSG00000109132	RP23-44D14.1		
ENSMUSG00000043485	Krt34	keratin 34 [Source:MGI Symbol;Acc:MGI:1309994]	16672
ENSMUSG00000048779	P2ry6	pyrimidinergic receptor P2Y, G-protein coupled, 6 [Source:MGI Symbol;Acc:MGI:2673874]	233571
ENSMUSG00000080799	Gm15166	predicted gene 15166 [Source:MGI Symbol;Acc:MGI:3705391]	
ENSMUSG00000108663	RP23-4H17.2		
ENSMUSG00000039701	Usp53	ubiquitin specific peptidase 53 [Source:MGI Symbol;Acc:MGI:2139607]	99526
ENSMUSG00000084257	Gm11597	predicted gene 11597 [Source:MGI Symbol;Acc:MGI:3652313]	
ENSMUSG00000070960	Gm19680	predicted gene, 19680 [Source:MGI Symbol;Acc:MGI:5011865]	
ENSMUSG00000095923	Ighv1-37	immunoglobulin heavy variable 1-37 [Source:MGI Symbol;Acc:MGI:4439640]	
ENSMUSG00000025716	Myo3a	myosin IIIA [Source:MGI Symbol;Acc:MGI:2183924]	
ENSMUSG00000048573	Cypt3	cysteine-rich perinuclear theca 3 [Source:MGI Symbol;Acc:MGI:1916611]	69361
ENSMUSG00000032000	Birc3	baculoviral IAP repeat-containing 3 [Source:MGI Symbol;Acc:MGI:1197007]	11796
ENSMUSG00000083913	Gm14219	predicted gene 14219 [Source:MGI Symbol;Acc:MGI:3651727]	
ENSMUSG00000103873	Ighv1-38	immunoglobulin heavy variable V1-38 [Source:MGI Symbol;Acc:MGI:5009911]	
ENSMUSG00000091386	Olfr443-ps1	olfactory receptor 443, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3030277]	
ENSMUSG00000095554	Ighv1-16	immunoglobulin heavy variable 1-16 [Source:MGI Symbol;Acc:MGI:3647704]	
ENSMUSG00000083451	Gm11445	predicted gene 11445 [Source:MGI Symbol;Acc:MGI:3651163]	
ENSMUSG00000030421	Uri1	URI1, prefoldin-like chaperone [Source:MGI Symbol;Acc:MGI:1342294]	19777
ENSMUSG00000082456	Gm11598	predicted gene 11598 [Source:MGI Symbol;Acc:MGI:3649374]	
ENSMUSG00000081215	Gm11446	predicted gene 11446 [Source:MGI Symbol;Acc:MGI:3651125]	
ENSMUSG00000051452	Gm11437	predicted gene 11437 [Source:MGI Symbol;Acc:MGI:3650287]	628813
ENSMUSG00000082159	Gm7910	predicted gene 7910 [Source:MGI Symbol;Acc:MGI:3645646]	
ENSMUSG00000085198	4933416E03Rik	RIKEN cDNA 4933416E03 gene [Source:MGI Symbol;Acc:MGI:1918331]	
ENSMUSG00000106613	Gm42652	predicted gene 42652 [Source:MGI Symbol;Acc:MGI:5662789]	
ENSMUSG00000045251	Zfp688	zinc finger protein 688 [Source:MGI Symbol;Acc:MGI:1916484]	69234
ENSMUSG00000106549	Gm42653	predicted gene 42653 [Source:MGI Symbol;Acc:MGI:5662790]	
ENSMUSG00000047965	Rpl9-ps7	ribosomal protein L9, pseudogene 7 [Source:MGI Symbol;Acc:MGI:3642824]	
ENSMUSG00000103122	Gm37391	predicted gene, 37391 [Source:MGI Symbol;Acc:MGI:5610619]	
ENSMUSG00000086558	Gm14223	predicted gene 14223 [Source:MGI Symbol;Acc:MGI:3650698]	
ENSMUSG00000102576	Gm37875	predicted gene, 37875 [Source:MGI Symbol;Acc:MGI:5611103]	
ENSMUSG00000083329	Gm14220	predicted gene 14220 [Source:MGI Symbol;Acc:MGI:3702164]	
ENSMUSG00000075304	Sp5	trans-acting transcription factor 5 [Source:MGI Symbol;Acc:MGI:1927715]	64406
ENSMUSG00000086653	9130015L21Rik	RIKEN cDNA 9130015L21 gene [Source:MGI Symbol;Acc:MGI:1918863]	
ENSMUSG00000055408	Hottip	Hoxa distal transcript antisense RNA [Source:MGI Symbol;Acc:MGI:3642509]	
ENSMUSG00000083488	Gm8534	predicted gene 8534 [Source:MGI Symbol;Acc:MGI:3648661]	
ENSMUSG00000074623	Gm826	predicted gene 826 [Source:MGI Symbol;Acc:MGI:2685672]	329554
ENSMUSG00000045336	Hsfy2	heat shock transcription factor, Y-linked 2 [Source:MGI Symbol;Acc:MGI:1918316]	71066
ENSMUSG00000096859	Vmn1r176	vomeronasal 1 receptor 176 [Source:MGI Symbol;Acc:MGI:3809206]	546943
ENSMUSG00000095130	Ighv1-39	immunoglobulin heavy variable 1-39 [Source:MGI Symbol;Acc:MGI:4439888]	
ENSMUSG00000081180	Gm7212	predicted gene 7212 [Source:MGI Symbol;Acc:MGI:3648271]	
ENSMUSG00000082059	Gm15183	predicted gene 15183 [Source:MGI Symbol;Acc:MGI:3705481]	
ENSMUSG00000086234	Usp46os2	ubiquitin specific peptidase 46, opposite strand 2 [Source:MGI Symbol;Acc:MGI:1924246]	
ENSMUSG00000043870	Gm5809	predicted pseudogene 5809 [Source:MGI Symbol;Acc:MGI:3647324]	
ENSMUSG00000102991	Ighv1-40	immunoglobulin heavy variable V1-40 [Source:MGI Symbol;Acc:MGI:5009912]	
ENSMUSG00000057513	Vmn1r177	vomeronasal 1 receptor 177 [Source:MGI Symbol;Acc:MGI:3033481]	384572
ENSMUSG00000087250	Usp46os1	ubiquitin specific peptidase 46, opposite strand 1 [Source:MGI Symbol;Acc:MGI:1921549]	
ENSMUSG00000074622	Mafb	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian) [Source:MGI Symbol;Acc:MGI:104555]	16658
ENSMUSG00000041730	Prrxl1	paired related homeobox protein-like 1 [Source:MGI Symbol;Acc:MGI:2148204]	107751
ENSMUSG00000041939	Mvk	mevalonate kinase [Source:MGI Symbol;Acc:MGI:107624]	17855
ENSMUSG00000098043	Gm26980	predicted gene, 26980 [Source:MGI Symbol;Acc:MGI:5504095]	
ENSMUSG00000106993	Gm43417	predicted gene 43417 [Source:MGI Symbol;Acc:MGI:5663554]	
ENSMUSG00000046240	Hepacam	hepatocyte cell adhesion molecule [Source:MGI Symbol;Acc:MGI:1920177]	72927
ENSMUSG00000035152	Ap2b1	adaptor-related protein complex 2, beta 1 subunit [Source:MGI Symbol;Acc:MGI:1919020]	71770
ENSMUSG00000109210	RP23-457H7.10		
ENSMUSG00000053797	Krt16	keratin 16 [Source:MGI Symbol;Acc:MGI:96690]	16666
ENSMUSG00000078955	Gm14222	predicted gene 14222 [Source:MGI Symbol;Acc:MGI:3651737]	
ENSMUSG00000030780	BC017158	cDNA sequence BC017158 [Source:MGI Symbol;Acc:MGI:2384572]	233913
ENSMUSG00000062598	Vmn1r178	vomeronasal 1 receptor 178 [Source:MGI Symbol;Acc:MGI:3033482]	232959
ENSMUSG00000078956	Gm14221	predicted gene 14221 [Source:MGI Symbol;Acc:MGI:3650696]	
ENSMUSG00000091725	Gm8220	predicted gene 8220 [Source:MGI Symbol;Acc:MGI:3643828]	
ENSMUSG00000046924	Vmn1r179	vomeronasal 1 receptor 179 [Source:MGI Symbol;Acc:MGI:3033486]	404286
ENSMUSG00000101435	Gm28772	predicted gene 28772 [Source:MGI Symbol;Acc:MGI:5579478]	
ENSMUSG00000024817	Uhrf2	ubiquitin-like, containing PHD and RING finger domains 2 [Source:MGI Symbol;Acc:MGI:1923718]	109113
ENSMUSG00000091146	Gm3077	predicted gene 3077 [Source:MGI Symbol;Acc:MGI:3781254]	
ENSMUSG00000086866	4930512H18Rik	RIKEN cDNA 4930512H18 gene [Source:MGI Symbol;Acc:MGI:1922361]	
ENSMUSG00000066724	Gm10175	predicted gene 10175 [Source:MGI Symbol;Acc:MGI:3704287]	
ENSMUSG00000080898	Gm14836	predicted gene 14836 [Source:MGI Symbol;Acc:MGI:3801983]	
ENSMUSG00000102535	Ighv1-41	immunoglobulin heavy variable 1-41 [Source:MGI Symbol;Acc:MGI:3649084]	
ENSMUSG00000101594	Gm21779	predicted gene, 21779 [Source:MGI Symbol;Acc:MGI:5433943]	
ENSMUSG00000045326	Fndc7	fibronectin type III domain containing 7 [Source:MGI Symbol;Acc:MGI:2443535]	320181
ENSMUSG00000028671	Gale	galactose-4-epimerase, UDP [Source:MGI Symbol;Acc:MGI:1921496]	74246
ENSMUSG00000082575	Gm13050	predicted gene 13050 [Source:MGI Symbol;Acc:MGI:3650664]	
ENSMUSG00000108448	RP23-235M8.7		
ENSMUSG00000079269	Gm3676	predicted gene 3676 [Source:MGI Symbol;Acc:MGI:3781852]	
ENSMUSG00000091707	Gm8224	predicted gene 8224 [Source:MGI Symbol;Acc:MGI:3643831]	
ENSMUSG00000100778	Gm28908	predicted gene 28908 [Source:MGI Symbol;Acc:MGI:5579614]	
ENSMUSG00000083563	Gm13340	predicted gene 13340 [Source:MGI Symbol;Acc:MGI:3650227]	
ENSMUSG00000082449	Gm15244	predicted gene 15244 [Source:MGI Symbol;Acc:MGI:3705604]	
ENSMUSG00000083863	Gm13341	predicted gene 13341 [Source:MGI Symbol;Acc:MGI:3650228]	
ENSMUSG00000094652	Ighv1-42	immunoglobulin heavy variable V1-42 [Source:MGI Symbol;Acc:MGI:3704123]	
ENSMUSG00000083945	Gm15242	predicted gene 15242 [Source:MGI Symbol;Acc:MGI:3705602]	
ENSMUSG00000082884	Gm13339	predicted gene 13339 [Source:MGI Symbol;Acc:MGI:3650221]	
ENSMUSG00000040170	Fmo2	flavin containing monooxygenase 2 [Source:MGI Symbol;Acc:MGI:1916776]	55990
ENSMUSG00000082516	Gm13342	predicted gene 13342 [Source:MGI Symbol;Acc:MGI:3650441]	
ENSMUSG00000062168	Ppef1	protein phosphatase with EF hand calcium-binding domain 1 [Source:MGI Symbol;Acc:MGI:1097157]	237178
ENSMUSG00000108483	RP23-4H17.3		
ENSMUSG00000019888	Mgat4c	MGAT4 family, member C [Source:MGI Symbol;Acc:MGI:1914819]	67569
ENSMUSG00000105101	Gm43206	predicted gene 43206 [Source:MGI Symbol;Acc:MGI:5663343]	
ENSMUSG00000028517	Plpp3	phospholipid phosphatase 3 [Source:MGI Symbol;Acc:MGI:1915166]	67916
ENSMUSG00000056995	Olfr1178	olfactory receptor 1178 [Source:MGI Symbol;Acc:MGI:3031012]	258203
ENSMUSG00000073102	Drc1	dynein regulatory complex subunit 1 [Source:MGI Symbol;Acc:MGI:2685906]	381738
ENSMUSG00000107463	Gm44294	predicted gene, 44294 [Source:MGI Symbol;Acc:MGI:5690686]	
ENSMUSG00000075127	Olfr1179	olfactory receptor 1179 [Source:MGI Symbol;Acc:MGI:3031013]	258919
ENSMUSG00000028622	Mrpl37	mitochondrial ribosomal protein L37 [Source:MGI Symbol;Acc:MGI:1926268]	56280
ENSMUSG00000100883	Gm28773	predicted gene 28773 [Source:MGI Symbol;Acc:MGI:5579479]	
ENSMUSG00000091281	Gm8065	predicted gene 8065 [Source:MGI Symbol;Acc:MGI:3646349]	
ENSMUSG00000043795	Prr33	proline rich 33 [Source:MGI Symbol;Acc:MGI:3642289]	
ENSMUSG00000059278	Naa38	N(alpha)-acetyltransferase 38, NatC auxiliary subunit [Source:MGI Symbol;Acc:MGI:1925554]	78304
ENSMUSG00000029432	Gbas	glioblastoma amplified sequence [Source:MGI Symbol;Acc:MGI:1278343]	14467
ENSMUSG00000103372	Gm37237	predicted gene, 37237 [Source:MGI Symbol;Acc:MGI:5610465]	
ENSMUSG00000095518	Gm8068	predicted gene 8068 [Source:MGI Symbol;Acc:MGI:3646354]	
ENSMUSG00000005503	Evx1	even-skipped homeobox 1 [Source:MGI Symbol;Acc:MGI:95461]	14028
ENSMUSG00000102354	Gm38350	predicted gene, 38350 [Source:MGI Symbol;Acc:MGI:5611578]	
ENSMUSG00000100892	Gm20897	predicted gene, 20897 [Source:MGI Symbol;Acc:MGI:5434253]	102635480
