ABF1	ACE2	ADR1	ARG80	ARG81	ARO80	ASH1	AZF1	BAS1	CAD1	CBF1	CHA4	CIN5	CRZ1	CUP9	DAL81	DAL82	DIG1	DOT6	ECM22	FHL1	FKH1	FKH2	FZF1	GAL4	GAT1	GAT3	GCN4	GCR1	GCR2	GLN3	GRF10.Pho2.	GTS1	HAA1	HAL9	HAP2	HAP3	HAP4	HAP5	HIR1	HIR2	HMS1	HSF1	IME4	INO2	INO4	IXR1	LEU3	MAC1	MAL13	MAL33	MATa1	MBP1	MCM1	MET31	MET4	MIG1	MOT3	MSN1	MSN2	MSN4	MSS11	MTH1	NDD1	NRG1	PDR1	PHD1	PHO4	PUT3	RAP1	RCS1	REB1	RFX1	RGM1	RGT1	RIM101	RLM1	RME1	ROX1	RPH1	RTG1	RTG3	RTS2	SFL1	SFP1	SIG1	SIP4	SKN7	SKO1	SMP1	SOK2	SRD1	STB1	STE12	STP1	STP2	SUM1	SWI4	SWI5	SWI6	THI2	UGA3	USV1	YAP1	YAP3	YAP5	YAP6	YAP7	YBR267W	YFL044C	YJL206C	ZAP1	ZMS1
YGR112W	0.45	0.6	0.022	0.61	0.03	0.95	0.85	0.94	0.74	0.5	0.18	0.45	0.49	0.2	0.44	0.78	0.33	0.044	0.046	0.59	0.46	0.93	0.5	0.75	0.88	0.86	0.74	0.17	0.9	0.94	0.26	0.34	0.98	0.49	0.5	0.41	0.56	0.22	0.076	0.053	0.8	0.57	0.97	0.23	0.11	0.45	0.48	0.54	0.27	0.84	0.44	0.2	0.8	0.58	0.074	0.78	0.0037	0.9	0.11	0.11	0.34	0.022	0.75	0.82	0.79	0.74	0.7	1	0.042	0.84	0.37	0.67	0.74	0.83	0.55	0.95	0.94	0.92	0.69	1	0.01	0.21	0.96	1	0.81	0.1	0.051	0.44	0.26	0.8	0.067	0.46	0.54	0.18	0.6	0.32	0.79	0.77	0.83	0.3	0.26	1	1	0.34	0.93	0.69	0.81	0.98	0.44	0.46	0.64	0.65	1
YGR113W	0.55	0.43	0.26	0.93	0.77	0.61	0.38	0.95	0.67	0.21	0.055	0.54	0.69	0.25	0.81	0.64	0.13	0.28	0.3	0.51	0.45	0.66	0.15	0.99	0.82	0.14	0.97	0.32	0.55	0.94	0.57	0.069	0.4	0.74	0.88	0.39	0.66	0.64	0.9	0.47	0.84	0.93	0.19	0.75	0.35	0.23	0.73	0.94	0.17	0.65	0.67	0.43	0.57	0.8	0.6	0.23	0.035	0.37	0.51	0.14	0.36	0.033	0.13	0.39	0.98	0.71	0.52	1	0.23	0.89	0.28	0.79	0.31	0.94	0.26	0.76	0.99	0.49	0.51	0.59	0.63	0.58	0.89	1	0.61	0.0043	0.62	0.3	0.045	0.58	0.016	0.92	0.39	0.35	0.85	0.72	0.85	0.74	0.42	0.63	0.14	0.49	0.98	0.88	0.62	0.39	0.73	0.79	0.32	0.48	0.2	0.54	0.16
YGR114C	0.5	0.71	0.93	0.044	0.22	0.34	0.61	0.84	0.26	0.97	0.82	0.51	0.37	0.58	0.13	0.44	0.66	0.45	0.094	0.77	0.13	0.68	0.3	0.29	0.66	0.57	0.84	0.64	0.85	0.068	0.58	0.66	0.36	0.1	0.091	0.27	0.58	0.22	0.28	0.95	0.33	0.26	0.31	0.0037	0.57	0.6	0.0015	0.21	0.4	0.55	0.92	1	0.41	0.76	0.44	0.91	0.94	1	0.81	0.13	0.43	1	0.64	0.54	0.47	0.73	0.71	0.45	0.43	0.61	0.11	0.44	1	0.66	0.25	0.59	0.66	0.33	0.45	0.96	0.77	0.33	0.87	1	0.87	1	0.44	0.42	1	0.33	1	0.67	0.31	0.67	0.34	1	0.38	0.52	0.71	0.44	0.6	0.73	1	0.47	0.51	1	0.5	0.59	0.073	0.023	0.26	0.36	1
YGR115C	0.5	0.71	0.93	0.044	0.22	0.34	0.61	0.84	0.26	0.97	0.82	0.51	0.37	0.58	0.13	0.44	0.66	0.45	0.094	0.77	0.13	0.68	0.3	0.29	0.66	0.57	0.84	0.64	0.85	0.068	0.58	0.66	0.36	0.1	0.091	0.27	0.58	0.22	0.28	0.95	0.33	0.26	0.31	0.0037	0.57	0.6	0.0015	0.21	0.4	0.55	0.92	1	0.41	0.76	0.44	0.91	0.94	1	0.81	0.13	0.43	1	0.64	0.54	0.47	0.73	0.71	0.45	0.43	0.61	0.11	0.44	1	0.66	0.25	0.59	0.66	0.33	0.45	0.96	0.77	0.33	0.87	1	0.87	1	0.44	0.42	1	0.33	1	0.67	0.31	0.67	0.34	1	0.38	0.52	0.71	0.44	0.6	0.73	1	0.47	0.51	1	0.5	0.59	0.073	0.023	0.26	0.36	1
YGR116W	0.37	0.57	0.12	0.75	0.46	0.58	0.33	0.9	0.7	0.02	0.0031	0.34	0.74	0.47	0.9	0.69	0.32	0.49	0.018	0.73	0.57	0.95	0.28	0.84	0.24	0.74	0.98	0.47	0.34	0.98	0.51	0.65	0.8	0.24	0.58	0.34	0.88	0.59	0.61	0.3	0.59	0.32	0.84	0.83	0.085	0.72	0.82	0.94	0.55	0.13	0.93	0.28	0.61	0.63	0.4	0.4	0.93	0.41	0.28	0.22	0.3	0.0012	0.89	0.8	0.6	0.83	0.55	1	0.22	0.83	0.56	0.83	0.42	0.93	0.0088	0.91	0.83	0.85	0.83	0.4	0.064	0.36	0.25	1	0.58	0.0043	0.75	0.56	0.027	0.78	0.008	0.91	0.52	0.72	0.5	0.75	0.42	0.6	0.64	0.25	0.62	1	0.25	0.34	0.76	0.47	0.63	0.91	0.57	0.87	0.63	0.14	0.65
YGR117C	0.78	0.93	0.97	0.48	0.67	0.71	0.64	0.8	0.13	0.96	0.33	0.14	0.24	0.53	0.42	0.29	0.75	0.97	0.92	0.11	2.3e-08	0.96	0.43	0.76	0.35	0.56	0.015	0.98	0.46	0.93	0.8	0.24	0.95	0.96	0.46	0.4	0.88	0.23	0.26	0.63	0.53	0.14	0.16	0.2	0.031	0.1	0.59	0.63	0.6	0.32	0.23	0.48	0.9	0.78	0.1	0.1	0.99	0.76	0.04	0.42	0.049	0.78	0.67	0.85	0.95	0.011	0.52	0.47	0.23	0.00063	0.44	0.82	0.87	0.017	0.94	0.95	0.72	0.34	0.21	0.69	0.54	0.9	0.88	0.86	0.012	0.69	0.44	0.89	0.8	0.011	0.89	0.89	0.88	0.91	0.9	0.39	0.74	0.42	0.23	0.99	0.45	0.46	0.92	0.38	0.19	0.004	0.33	0.36	0.99	0.86	0.25	0.23	0.19
YGR118W	0.78	0.93	0.97	0.48	0.67	0.71	0.64	0.8	0.13	0.96	0.33	0.14	0.24	0.53	0.42	0.29	0.75	0.97	0.92	0.11	2.3e-08	0.96	0.43	0.76	0.35	0.56	0.015	0.98	0.46	0.93	0.8	0.24	0.95	0.96	0.46	0.4	0.88	0.23	0.26	0.63	0.53	0.14	0.16	0.2	0.031	0.1	0.59	0.63	0.6	0.32	0.23	0.48	0.9	0.78	0.1	0.1	0.99	0.76	0.04	0.42	0.049	0.78	0.67	0.85	0.95	0.011	0.52	0.47	0.23	0.00063	0.44	0.82	0.87	0.017	0.94	0.95	0.72	0.34	0.21	0.69	0.54	0.9	0.88	0.86	0.012	0.69	0.44	0.89	0.8	0.011	0.89	0.89	0.88	0.91	0.9	0.39	0.74	0.42	0.23	0.99	0.45	0.46	0.92	0.38	0.19	0.004	0.33	0.36	0.99	0.86	0.25	0.23	0.19
YGR119C	2e-04	0.89	0.47	0.26	0.16	0.33	0.56	0.79	0.82	0.67	0.49	0.54	0.14	0.15	0.4	0.47	0.55	0.59	0.75	0.95	0.26	0.22	1	0.91	0.67	0.65	0.12	0.22	0.39	0.19	0.13	0.94	0.94	0.4	0.5	0.41	0.16	0.39	0.23	0.079	0.51	0.56	0.58	0.86	0.017	0.52	0.12	0.91	0.35	0.31	0.78	0.83	0.31	0.6	0.25	0.94	0.079	0.45	0.11	0.096	0.27	0.44	0.84	0.56	0.57	0.11	0.54	0.26	0.93	0.58	0.17	0.47	0.028	0.25	0.64	0.93	0.21	0.45	0.55	0.84	0.057	0.43	0.26	0.69	0.69	0.59	0.36	0.77	0.81	0.22	0.8	0.46	0.77	0.076	0.25	0.35	0.76	0.83	0.58	0.45	0.21	0.12	0.55	0.79	0.69	0.56	0.32	0.71	0.55	0.95	0.51	0.68	0.68
YGR120C	0.78	0.82	0.86	0.12	0.53	0.64	0.74	0.86	0.19	0.91	0.32	0.61	0.11	0.91	0.12	1.2e-05	0.42	0.39	0.83	0.57	0.33	0.92	0.42	0.28	0.97	0.56	0.52	0.75	0.21	0.22	0.58	0.86	0.91	0.83	0.05	0.42	0.47	0.5	0.43	0.47	0.72	0.23	0.28	0.38	0.53	0.51	0.4	0.34	0.1	0.57	0.31	1	0.48	0.64	0.37	0.079	0.39	0.13	0.043	0.1	0.27	1	0.87	0.52	0.5	0.52	0.67	1	0.049	0.41	0.4	0.25	0.19	0.88	0.38	0.93	0.78	0.25	0.3	0.39	0.94	0.89	0.11	0.31	0.83	1	0.64	0.78	1	0.11	1	0.48	0.43	0.69	0.32	1	0.83	0.57	0.7	0.71	0.95	0.98	0.95	0.43	1	0.72	0.45	0.26	0.49	0.54	0.87	0.79	0.61
YGR121C	0.28	0.52	0.44	0.92	0.54	0.94	0.13	0.69	0.51	0.95	0.36	0.88	0.0026	0.82	0.73	0.78	0.41	0.51	0.87	0.19	0.74	0.46	0.22	0.89	0.86	0.034	0.29	0.67	0.78	0.72	0.12	0.86	0.32	0.95	0.78	0.93	0.47	0.3	0.8	0.068	0.25	0.82	0.15	0.44	0.1	0.097	0.67	0.69	0.24	0.55	0.054	0.53	0.56	0.88	0.74	0.14	0.33	0.83	0.45	0.16	0.079	0.64	0.12	0.36	0.56	0.68	0.34	0.045	0.25	0.17	0.95	0.74	0.75	0.16	0.27	0.26	0.59	0.79	0.62	0.66	0.22	0.5	0.91	0.58	0.035	0.43	0.48	0.49	0.75	0.31	0.65	0.43	0.75	0.21	0.57	0.79	0.88	0.67	0.6	0.75	0.32	0.53	0.035	0.48	0.46	0.86	0.36	0.64	0.93	0.84	0.72	0.97	0.59
YGR122C-A	0.42	0.94	0.88	0.43	0.61	0.54	0.34	0.68	0.57	0.74	0.32	0.37	0.07	0.51	0.13	0.12	0.37	0.53	0.83	0.55	0.26	0.46	0.26	0.61	0.66	0.62	0.39	0.89	0.53	0.53	0.38	0.91	0.64	0.5	0.27	0.29	0.59	0.76	0.82	0.32	0.11	0.25	0.48	0.58	0.76	0.59	0.14	0.58	0.4	0.61	0.27	0.0022	0.81	0.86	0.57	0.48	0.65	0.065	0.27	0.23	0.46	1	0.66	0.88	0.69	0.82	0.58	0.56	0.53	0.38	0.46	0.62	1	0.6	0.25	0.58	0.62	0.72	0.47	0.33	0.94	0.81	0.14	0.73	0.75	0.1	0.64	0.47	1	0.42	1	0.42	0.53	0.8	0.23	0.11	0.45	0.86	0.62	0.62	0.71	0.71	0.46	0.55	1	0.8	0.58	0.42	1	0.56	0.56	0.46	0.8
YGR122W	0.28	0.52	0.44	0.92	0.54	0.94	0.13	0.69	0.51	0.95	0.36	0.88	0.0026	0.82	0.73	0.78	0.41	0.51	0.87	0.19	0.74	0.46	0.22	0.89	0.86	0.034	0.29	0.67	0.78	0.72	0.12	0.86	0.32	0.95	0.78	0.93	0.47	0.3	0.8	0.068	0.25	0.82	0.15	0.44	0.1	0.097	0.67	0.69	0.24	0.55	0.054	0.53	0.56	0.88	0.74	0.14	0.33	0.83	0.45	0.16	0.079	0.64	0.12	0.36	0.56	0.68	0.34	0.045	0.25	0.17	0.95	0.74	0.75	0.16	0.27	0.26	0.59	0.79	0.62	0.66	0.22	0.5	0.91	0.58	0.035	0.43	0.48	0.49	0.75	0.31	0.65	0.43	0.75	0.21	0.57	0.79	0.88	0.67	0.6	0.75	0.32	0.53	0.035	0.48	0.46	0.86	0.36	0.64	0.93	0.84	0.72	0.97	0.59
YGR123C	0.74	0.88	1	0.6	0.52	0.78	0.43	0.17	0.72	0.92	0.63	0.95	0.27	0.94	0.52	0.62	1	0.42	0.85	0.086	0.68	0.8	0.76	0.51	0.7	0.12	0.15	0.86	0.53	0.092	0.9	0.28	0.34	0.91	0.32	0.78	0.66	0.72	0.56	0.65	0.74	0.19	0.1	0.51	0.02	0.011	0.16	0.23	0.046	0.83	0.12	0.71	0.37	0.14	0.39	0.13	0.6	0.0078	0.36	0.97	0.92	0.46	0.025	0.51	0.62	0.2	0.57	0.9	0.016	0.57	0.63	0.69	0.52	0.082	0.74	0.75	0.43	0.33	0.053	0.48	0.31	0.39	0.06	0.22	0.1	0.8	0.61	0.45	0.84	0.45	0.64	0.55	0.94	0.63	0.47	0.5	0.7	0.75	0.86	0.94	0.79	0.68	0.74	0.74	0.049	0.59	0.46	0.075	0.96	0.22	0.99	0.64	0.034
YGR124W	0.07	0.6	0.94	0.87	0.82	0.48	0.0091	0.46	0.92	0.93	0.062	0.72	0.48	0.78	0.58	0.16	0.36	0.41	0.85	0.037	0.49	0.51	1	0.45	0.5	0.43	0.43	0.29	0.15	0.31	0.98	0.64	0.42	0.86	0.77	0.42	0.83	0.94	0.72	0.31	0.32	0.56	0.12	0.94	0.091	0.47	0.58	0.94	0.025	0.4	0.047	0.7	0.049	0.61	0.54	0.15	0.36	0.22	0.2	0.88	0.93	0.73	0.063	0.094	0.59	0.23	0.57	1	0.014	0.18	0.96	0.91	0.89	0.36	0.23	0.42	0.23	0.16	0.0035	0.4	0.9	0.93	0.36	0.25	0.77	0.7	0.47	0.021	0.65	0.78	0.45	0.38	0.51	0.37	0.71	0.67	0.95	0.87	1	0.61	1	0.76	0.89	0.92	0.19	0.76	0.81	0.31	0.94	0.94	0.84	0.51	0.32
YGR125W	0.81	0.00077	0.52	0.57	0.8	0.48	0.43	0.28	0.88	0.4	0.61	0.97	0.76	0.51	0.93	0.41	1	0.77	1	0.57	0.59	0.5	0.95	0.58	0.68	0.035	0.65	0.85	0.73	0.39	0.56	0.59	0.1	0.8	0.78	0.98	0.55	0.91	0.86	0.78	0.3	0.72	0.68	0.15	0.54	0.17	0.29	0.98	0.81	0.92	0.58	0.45	0.00087	0.23	0.95	0.024	0.65	0.2	0.91	0.94	0.092	0.38	0.72	0.24	0.35	0.35	1	0.18	0.0084	0.84	0.54	0.84	0.57	0.42	0.21	0.34	0.57	0.68	0.31	0.21	0.57	0.49	0.5	0.024	0.23	0.42	0.092	0.18	0.57	0.85	0.6	0.39	0.86	0.47	0.81	0.58	0.71	0.13	0.61	0.0018	0.55	0.026	0.59	0.45	0.26	0.6	0.78	0.48	0.81	0.001	1	0.43	1
YGR126W	0.37	0.46	0.55	0.37	0.25	0.21	0.98	0.26	0.55	0.5	0.91	0.0077	0.51	0.12	0.22	0.65	0.99	0.19	0.095	0.98	0.71	0.18	0.78	0.073	0.21	0.93	0.97	0.49	0.12	0.19	0.13	0.71	0.0013	0.41	0.6	0.33	0.039	0.38	0.22	0.18	0.46	0.65	0.8	0.5	0.8	0.48	0.23	0.21	0.028	0.99	0.76	0.6	0.27	0.35	0.019	0.83	0.42	0.4	0.63	0.4	0.37	0.95	0.96	0.31	0.45	0.089	0.49	1	0.15	0.96	0.34	0.28	0.11	0.9	0.45	0.012	0.21	0.41	0.091	0.23	0.12	0.14	0.058	1	0.21	0.95	0.81	0.3	0.57	0.61	0.92	0.064	0.68	0.56	0.028	0.59	0.61	0.7	1	0.0028	0.22	0.96	1	0.89	0.82	0.77	0.57	0.99	0.43	0.4	0.18	0.017	1
YGR127W	0.56	0.57	0.051	0.32	0.41	0.36	0.75	0.19	0.46	0.56	0.72	0.052	0.69	0.2	0.4	0.37	0.37	0.61	1	0.66	0.12	0.58	0.71	0.61	0.91	0.58	0.58	0.27	0.42	0.55	0.29	0.4	0.46	0.3	0.66	0.041	0.48	0.74	0.45	0.63	0.86	0.41	0.84	0.21	0.79	0.37	0.45	0.29	0.22	0.65	0.92	0.7	0.32	0.36	0.74	0.68	0.54	0.76	0.7	0.41	0.18	1	0.81	0.66	0.31	0.33	0.63	0.48	0.72	0.52	0.19	0.48	0.054	0.38	0.69	0.35	0.73	0.42	0.54	0.25	0.4	0.49	0.74	1	0.65	0.77	0.44	0.02	0.92	0.37	0.61	0.38	0.18	0.69	0.067	0.43	0.68	1	1	0.29	0.41	1	1	0.81	0.7	0.59	0.35	0.51	0.094	0.00016	1	0.24	1
YGR128C	0.00014	0.38	0.55	0.069	0.3	0.43	0.79	0.4	0.56	0.16	0.7	0.61	0.7	0.95	0.32	0.059	0.56	0.61	1	0.9	0.15	1	0.76	0.023	1	0.83	0.96	0.35	0.092	0.41	0.059	0.54	0.03	0.52	0.17	0.13	0.13	0.79	0.62	0.77	0.41	0.51	0.96	0.15	0.49	0.91	0.012	0.43	0.17	0.37	0.019	0.13	0.54	0.59	0.76	0.61	0.54	0.66	0.8	0.84	0.59	1	0.68	0.56	0.75	0.26	0.66	0.49	0.98	0.71	0.39	0.14	1	0.8	1	0.55	0.49	0.49	0.67	1	0.041	0.49	1	1	1	1	0.19	0.19	1	0.81	1	0.24	0.49	0.33	0.16	0.2	0.23	0.64	1	0.11	0.39	1	1	0.77	0.75	1	0.82	1	0.37	0.00014	1	0.37	1
YGR129W	0.00014	0.38	0.55	0.069	0.3	0.43	0.79	0.4	0.56	0.16	0.7	0.61	0.7	0.95	0.32	0.059	0.56	0.61	1	0.9	0.15	1	0.76	0.023	1	0.83	0.96	0.35	0.092	0.41	0.059	0.54	0.03	0.52	0.17	0.13	0.13	0.79	0.62	0.77	0.41	0.51	0.96	0.15	0.49	0.91	0.012	0.43	0.17	0.37	0.019	0.13	0.54	0.59	0.76	0.61	0.54	0.66	0.8	0.84	0.59	1	0.68	0.56	0.75	0.26	0.66	0.49	0.98	0.71	0.39	0.14	1	0.8	1	0.55	0.49	0.49	0.67	1	0.041	0.49	1	1	1	1	0.19	0.19	1	0.81	1	0.24	0.49	0.33	0.16	0.2	0.23	0.64	1	0.11	0.39	1	1	0.77	0.75	1	0.82	1	0.37	0.00014	1	0.37	1
YGR130C	0.49	0.41	0.36	0.89	0.33	0.61	0.055	0.38	0.86	0.56	0.19	0.87	0.85	0.51	0.94	0.94	0.97	0.82	0.85	0.04	0.63	0.064	0.88	0.55	0.88	0.034	0.45	0.35	0.5	0.57	0.94	0.33	0.45	0.84	0.92	0.45	0.54	0.85	0.9	0.67	0.42	0.86	0.17	0.63	0.074	0.047	0.67	0.67	0.47	0.17	0.046	0.92	0.39	0.55	0.72	0.22	0.43	0.39	0.94	0.97	0.52	0.83	0.21	0.35	0.78	0.53	1	0.86	0.08	0.37	0.96	0.33	0.89	0.48	0.96	0.25	0.59	0.77	0.4	0.53	0.23	0.31	0.42	0.25	0.044	0.46	0.43	0.52	0.78	0.91	0.75	0.29	0.93	0.26	0.87	0.98	0.68	0.77	0.95	0.15	0.51	0.26	0.35	0.67	0.21	0.64	0.84	0.35	0.64	0.31	0.25	0.66	0.67
YGR131W	0.49	0.41	0.36	0.89	0.33	0.61	0.055	0.38	0.86	0.56	0.19	0.87	0.85	0.51	0.94	0.94	0.97	0.82	0.85	0.04	0.63	0.064	0.88	0.55	0.88	0.034	0.45	0.35	0.5	0.57	0.94	0.33	0.45	0.84	0.92	0.45	0.54	0.85	0.9	0.67	0.42	0.86	0.17	0.63	0.074	0.047	0.67	0.67	0.47	0.17	0.046	0.92	0.39	0.55	0.72	0.22	0.43	0.39	0.94	0.97	0.52	0.83	0.21	0.35	0.78	0.53	1	0.86	0.08	0.37	0.96	0.33	0.89	0.48	0.96	0.25	0.59	0.77	0.4	0.53	0.23	0.31	0.42	0.25	0.044	0.46	0.43	0.52	0.78	0.91	0.75	0.29	0.93	0.26	0.87	0.98	0.68	0.77	0.95	0.15	0.51	0.26	0.35	0.67	0.21	0.64	0.84	0.35	0.64	0.31	0.25	0.66	0.67
YGR132C	0.6	0.91	0.076	0.82	0.94	0.35	0.3	0.73	0.54	0.26	0.24	0.086	0.85	0.47	1	0.91	0.62	0.79	0.31	0.097	0.67	0.16	0.67	0.58	0.9	0.13	0.22	0.42	0.67	0.95	0.85	0.1	0.12	0.83	0.83	0.15	0.34	0.97	0.92	0.99	0.55	0.98	0.2	0.81	0.76	0.55	0.88	0.88	0.55	0.68	0.44	0.28	0.58	0.73	0.99	0.73	0.18	0.42	0.9	0.79	0.76	0.83	0.48	0.51	0.55	0.67	0.85	0.68	0.48	0.71	0.45	0.05	0.78	0.15	0.78	0.25	0.71	0.79	0.8	0.53	0.52	0.89	0.21	0.14	1	0.82	1	0.75	0.87	0.83	0.74	0.21	0.26	0.68	1	0.63	0.86	0.9	0.8	0.31	0.55	0.0098	0.8	0.99	0.38	0.35	0.93	0.13	0.27	0.28	0.66	0.28	0.31
YGR133W	0.6	0.91	0.076	0.82	0.94	0.35	0.3	0.73	0.54	0.26	0.24	0.086	0.85	0.47	1	0.91	0.62	0.79	0.31	0.097	0.67	0.16	0.67	0.58	0.9	0.13	0.22	0.42	0.67	0.95	0.85	0.1	0.12	0.83	0.83	0.15	0.34	0.97	0.92	0.99	0.55	0.98	0.2	0.81	0.76	0.55	0.88	0.88	0.55	0.68	0.44	0.28	0.58	0.73	0.99	0.73	0.18	0.42	0.9	0.79	0.76	0.83	0.48	0.51	0.55	0.67	0.85	0.68	0.48	0.71	0.45	0.05	0.78	0.15	0.78	0.25	0.71	0.79	0.8	0.53	0.52	0.89	0.21	0.14	1	0.82	1	0.75	0.87	0.83	0.74	0.21	0.26	0.68	1	0.63	0.86	0.9	0.8	0.31	0.55	0.0098	0.8	0.99	0.38	0.35	0.93	0.13	0.27	0.28	0.66	0.28	0.31
YGR134W	0.67	0.077	0.35	0.16	0.18	0.48	0.41	0.36	0.93	0.55	0.083	0.11	0.0011	0.97	0.86	0.88	0.057	0.12	0.31	0.31	0.55	0.55	0.77	0.43	0.43	0.74	0.53	0.85	0.11	0.33	0.54	0.57	0.63	0.19	0.91	0.17	0.36	0.75	0.2	0.27	0.71	0.94	0.41	0.54	0.97	0.69	0.098	0.77	0.96	0.47	0.4	0.44	0.18	0.75	0.45	0.89	0.62	0.29	0.67	0.95	0.95	0.13	0.79	0.87	0.35	0.64	0.62	1	0.98	0.69	0.33	0.0069	0.32	0.89	0.39	0.8	0.51	0.72	0.94	0.78	0.55	0.69	0.54	1	0.25	0.13	0.64	0.036	0.27	0.89	0.072	0.2	0.39	0.68	0.39	0.88	0.2	0.36	0.61	0.9	0.68	0.09	0.84	0.91	0.42	0.29	0.3	0.19	0.16	0.47	0.21	0.13	0.46
YGR135W	0.68	0.69	0.54	0.78	0.77	0.41	0.4	0.6	0.57	0.27	0.25	0.45	0.78	0.61	0.8	0.49	1	0.93	0.23	0.2	0.47	0.53	0.83	0.69	0.59	0.35	0.65	0.84	0.4	0.54	0.64	0.23	0.18	0.42	0.56	0.21	0.39	0.87	0.85	0.45	0.68	0.57	0.35	0.77	0.49	0.033	0.61	0.67	0.92	0.64	0.34	0.11	0.55	0.91	0.87	0.6	0.41	0.64	0.32	0.81	0.7	0.081	0.95	0.77	0.45	0.75	0.79	0.58	0.67	0.65	0.38	0.0091	0.49	0.94	0.39	0.38	0.89	0.26	0.46	1	0.96	0.95	0.76	0.087	0.97	0.088	0.2	0.37	0.0073	0.74	1	0.49	0.41	0.55	0.21	0.18	0.66	0.57	0.52	0.45	0.79	0.29	0.28	0.83	0.14	0.47	0.69	0.2	0.22	0.13	0.72	0.41	0.66
YGR136W	0.74	0.62	0.51	0.56	0.73	0.66	0.58	0.59	0.071	0.6	0.74	0.5	0.27	0.76	0.68	0.22	1	0.58	0.037	0.9	0.57	0.35	1	0.35	0.75	0.51	0.94	0.29	0.81	0.56	0.53	0.52	0.59	0.45	0.26	0.59	0.51	0.73	0.84	0.54	0.71	0.48	0.19	0.38	0.85	0.52	0.84	0.54	0.00042	0.41	0.75	0.56	0.66	0.68	0.64	0.35	0.059	0.77	0.32	0.86	0.92	1	0.71	0.43	0.77	0.29	0.56	1	0.5	0.77	0.82	0.71	0.47	0.8	0.18	0.61	0.24	0.82	0.47	1	0.77	0.8	0.41	1	0.54	0.065	0.41	0.43	0.0058	0.044	0.0025	0.64	0.4	0.76	0.78	0.4	0.79	0.81	0.93	0.17	0.82	1	1	0.81	0.92	0.78	0.68	0.67	0.31	0.63	0.52	0.55	1
YGR137W	0.74	0.62	0.51	0.56	0.73	0.66	0.58	0.59	0.071	0.6	0.74	0.5	0.27	0.76	0.68	0.22	1	0.58	0.037	0.9	0.57	0.35	1	0.35	0.75	0.51	0.94	0.29	0.81	0.56	0.53	0.52	0.59	0.45	0.26	0.59	0.51	0.73	0.84	0.54	0.71	0.48	0.19	0.38	0.85	0.52	0.84	0.54	0.00042	0.41	0.75	0.56	0.66	0.68	0.64	0.35	0.059	0.77	0.32	0.86	0.92	1	0.71	0.43	0.77	0.29	0.56	1	0.5	0.77	0.82	0.71	0.47	0.8	0.18	0.61	0.24	0.82	0.47	1	0.77	0.8	0.41	1	0.54	0.065	0.41	0.43	0.0058	0.044	0.0025	0.64	0.4	0.76	0.78	0.4	0.79	0.81	0.93	0.17	0.82	1	1	0.81	0.92	0.78	0.68	0.67	0.31	0.63	0.52	0.55	1
YGR138C	0.53	0.42	0.042	0.86	0.16	0.21	0.6	0.62	0.64	1	0.38	1	0.83	1	0.51	0.018	1	0.57	0.56	0.62	0.69	0.8	1	0.7	1	0.17	0.57	0.52	0.46	0.4	0.5	0.7	0.35	0.38	0.47	0.68	0.16	0.81	0.45	0.88	0.61	0.12	0.41	0.12	1	0.91	0.7	0.85	0.94	1	0.42	1	1	1	1	0.74	0.17	0.92	0.1	0.41	0.82	1	0.56	0.74	0.4	0.7	0.44	1	0.29	0.52	0.24	0.77	1	0.78	1	0.55	0.0021	0.82	0.88	1	0.58	0.69	0.62	1	0.67	1	0.068	0.56	1	0.61	1	0.26	0.2	1	0.62	1	0.28	0.76	1	0.98	0.6	1	0.56	0.68	1	0.38	0.52	0.35	1	0.44	0.62	0.46	0.47
YGR139W	0.53	0.42	0.042	0.86	0.16	0.21	0.6	0.62	0.64	1	0.38	1	0.83	1	0.51	0.018	1	0.57	0.56	0.62	0.69	0.8	1	0.7	1	0.17	0.57	0.52	0.46	0.4	0.5	0.7	0.35	0.38	0.47	0.68	0.16	0.81	0.45	0.88	0.61	0.12	0.41	0.12	1	0.91	0.7	0.85	0.94	1	0.42	1	1	1	1	0.74	0.17	0.92	0.1	0.41	0.82	1	0.56	0.74	0.4	0.7	0.44	1	0.29	0.52	0.24	0.77	1	0.78	1	0.55	0.0021	0.82	0.88	1	0.58	0.69	0.62	1	0.67	1	0.068	0.56	1	0.61	1	0.26	0.2	1	0.62	1	0.28	0.76	1	0.98	0.6	1	0.56	0.68	1	0.38	0.52	0.35	1	0.44	0.62	0.46	0.47
YGR140W	0.88	0.67	0.87	0.85	0.93	0.93	0.077	0.4	0.64	0.83	0.48	0.52	0.053	0.56	0.14	0.57	0.82	0.96	0.79	0.55	0.88	0.13	0.7	0.61	0.74	0.57	0.83	0.75	0.73	0.82	0.74	0.37	0.67	0.9	0.86	0.9	0.88	0.97	0.93	0.66	0.26	0.9	0.15	0.94	0.16	0.089	0.013	0.95	0.18	0.38	0.55	0.92	0.44	0.94	0.85	0.31	0.46	0.3	0.66	0.98	0.55	0.43	0.54	0.71	0.026	0.96	0.00061	0.86	0.33	0.2	0.99	0.87	0.96	0.51	0.78	0.79	0.57	0.47	0.067	0.69	0.61	0.87	0.82	0.033	0.71	0.69	0.9	0.0085	0.44	0.94	0.017	0.94	0.89	0.84	0.97	0.97	0.8	0.014	0.96	0.058	0.94	0.39	0.65	0.92	0.73	0.83	0.1	0.84	0.92	0.52	0.83	0.86	0.48
