	A32_Cntrl	A36_Cntrl	A37_Cntrl	A39_Cntrl	A50_Cntrl	A33_KO	A35_KO	A51_KO
ENSMUSG00000061086.8	1.89041924811337	21.9283163280325	68.4804241402258	125.126726557885	151.985220035287	39.4892803841602	29.799609148985	39.3862787075633
ENSMUSG00000061099.8	103.342918896864	139.793016591207	76.6980750370529	127.733533361175	127.217258251758	43.3418931045661	104.812418386085	83.1488106048559
ENSMUSG00000061100.3	0	0.913679847001353	0	0.868935601096425	0	0	0	0
ENSMUSG00000061104.4	1.26027949874225	0	5.47843393121806	0.868935601096425	0	8.66837862091322	0	4.37625318972926
ENSMUSG00000061111.8	46.0002017040921	59.3891900550879	98.6118107619252	74.7284616942926	135.097973364699	83.7943266688278	98.646982010433	111.594456338096
ENSMUSG00000061118.8	6.93153724308237	7.30943877601082	6.84804241402258	12.16509841535	9.00653155764661	11.5578381612176	12.3308727513041	6.56437978459388
ENSMUSG00000061119.6	11.9726552380514	24.6693558690365	10.9568678624361	6.08254920767498	7.88071511294078	26.0051358627397	17.4687363976808	47.0447217895895
ENSMUSG00000061126.4	0	0	0	0	0	0	0	0
ENSMUSG00000061130.8	168.24731308209	222.024202821329	269.81287111249	208.544544263142	251.057067169399	418.971633344139	415.139382627239	474.823471085624
ENSMUSG00000061132.9	5.041117994969	2.74103954100406	0	0.868935601096425	0	12.5209913413191	6.16543637565206	6.56437978459388
ENSMUSG00000061136.9	124.767670375483	97.7637436291447	65.7412071746168	67.7769768855212	70.9264360164671	107.873156171365	150.0256184742	92.9953802817467
ENSMUSG00000061143.11	122.877251127369	157.152933684233	94.5029853135116	183.345411831346	138.475422698817	208.041086901917	227.093573169851	77.6784941176943
ENSMUSG00000061144.5	0	0	0	0	0	0	0	0
ENSMUSG00000061150.2	0	0	0	0	0	0	1.02757272927534	0
ENSMUSG00000061165.6	0	0	0	0	0	0	0	0
ENSMUSG00000061171.11	2.5205589974845	3.65471938800541	4.10882544841355	8.68935601096425	3.37744933411748	0.963153180101469	11.3033000220288	6.56437978459388
ENSMUSG00000061175.7	247.014781753481	209.23268496331	269.81287111249	258.942809126735	362.512895195276	306.282711272267	362.733173434196	424.496559403738
ENSMUSG00000061184.4	0	0	0	0	0	0	0	0
ENSMUSG00000061186.11	3.78083849622675	11.8778380110176	1.36960848280452	2.60680680328928	3.37744933411748	0	3.08271818782603	1.09406329743231
ENSMUSG00000061195.5	0	0	0	0	0	0	0	0
ENSMUSG00000061207.7	39.0686644610097	63.0439094430933	58.8931647605942	67.7769768855212	59.6682715694088	40.4524335642617	32.882327336811	38.292215410131
ENSMUSG00000061208.5	0	0	0	0	0	0	0	0
ENSMUSG00000061210.3	1.89041924811337	0.913679847001353	0	0	0	0	0	0
ENSMUSG00000061232.11	938.278086813605	50.2523915850744	42.45786296694	84.2867533063533	95.6943977999952	74.1627948678131	50.3510637344919	107.218203148367
ENSMUSG00000061244.9	168.877452831461	131.569897968195	75.3284665542484	93.8450449184139	112.581644470583	174.330725598366	92.481545634781	126.911342502148
ENSMUSG00000061259.7	0	0	0	0	0	0	0	0
ENSMUSG00000061273.3	13.8630744861647	16.4462372460243	10.9568678624361	7.82042040986783	11.2581644470583	3.85261272040588	5.13786364637672	39.3862787075633
ENSMUSG00000061286.6	5.041117994969	1.82735969400271	8.2176508968271	4.34467800548213	7.88071511294078	8.66837862091322	19.5238818562315	6.56437978459388
ENSMUSG00000061288.9	54.1920184459167	56.6481505140839	80.8069004854664	51.2672004646891	23.6421453388223	68.3838757872043	46.2407728173905	70.0200510356681
ENSMUSG00000061292.6	0	0	0	0	0	0	0	0
ENSMUSG00000061295.3	0	0	0	0	0	0	0	0
ENSMUSG00000061296.1	0	0	0	0	0	0	0	0
ENSMUSG00000061298.10	3.78083849622675	0.913679847001353	0	0.868935601096425	0	0.963153180101469	0	2.18812659486463
ENSMUSG00000061305.3	0	0	0	0	0	0	0	0
ENSMUSG00000061306.11	86.3291456638441	111.468941334165	191.745187592632	101.665465328282	65.2973537929379	78.015407588219	86.3161092591289	101.747886661205
ENSMUSG00000061311.6	0	0	0	0	0	0	0	0
ENSMUSG00000061313.7	138.630744861647	174.512850777258	123.264763452406	139.029696175428	245.42798494587	162.772887437148	290.803082384922	164.109494614847
ENSMUSG00000061315.9	9037.46428548067	10903.8552941141	15394.3993467228	12490.08033016	13579.5979560417	21498.5421330449	21257.397050519	19974.3136212218
ENSMUSG00000061322.11	2.5205589974845	2.74103954100406	0	0	1.12581644470583	3.85261272040588	6.16543637565206	0
ENSMUSG00000061336.2	0	0	0	0	0	0	0	0
ENSMUSG00000061342.3	0	0	0	0	0	0	0	0
ENSMUSG00000061353.7	209.836536540585	185.477008941275	158.874584005324	157.277343798453	236.421453388224	159.883427896844	161.328918496229	195.837330240384
ENSMUSG00000061356.9	0	0	0	0	0	0.963153180101469	0	0
ENSMUSG00000061360.7	32.1371272179274	37.4608737270555	39.718646001331	26.9370036339892	27.0195946729398	54.8997312657837	25.6893182318836	25.1634558409432
ENSMUSG00000061361.1	0	0	0	0	0	0	0	0
ENSMUSG00000061367.2	0	0	0	0	0	0	0	0
ENSMUSG00000061371.6	30.246707969814	9.13679847001353	36.9794290357219	6.08254920767498	15.7614302258816	9.63153180101469	4.11029091710138	6.56437978459388
ENSMUSG00000061374.9	18.9041924811337	23.7556760220352	24.6529526904813	32.1506172405677	12.3839808917641	12.5209913413191	16.4411636684055	25.1634558409432
ENSMUSG00000061376.1	0	0	0	0	0	0	0	0
ENSMUSG00000061387.1	0	0	0	0	0	0	0	0
ENSMUSG00000061388.7	0	0	0	0	0	0	0	0
ENSMUSG00000061392.2	0	0	0	0	0	0	0	0
ENSMUSG00000061393.9	8.19181674182462	9.13679847001353	28.7617781388948	12.16509841535	5.62908222352913	5.77891908060881	0	0
ENSMUSG00000061397.7	0	0	0	0	0	1.92630636020294	2.05514545855069	2.18812659486463
ENSMUSG00000061410.6	173.91857082643	150.757174755223	130.112805866429	160.753086202839	91.1911320211719	187.814870119786	232.231436816228	248.352368517135
ENSMUSG00000061411.8	50.41117994969	44.7703125030663	76.6980750370529	66.9080412844248	41.6552084541156	64.5312630667984	76.0403819663755	57.9853547639126
ENSMUSG00000061414.4	26.4658694735872	24.6693558690365	27.3921696560903	24.3301968306999	13.5097973364699	0	0	0
ENSMUSG00000061436.11	448.659501552241	505.264955391748	657.412071746168	505.72051983812	557.279140129384	877.432547072438	743.962655995349	1251.60841226257
ENSMUSG00000061451.9	0	0	1.36960848280452	0	0	0.963153180101469	1.02757272927534	0
ENSMUSG00000061455.9	109.014176641205	84.0585459241245	86.2853344166845	78.2042040986783	45.032657788233	53.9365780856823	68.8473728614481	55.797228169048
ENSMUSG00000061457.3	0	0	0	0	0	0	0	0
ENSMUSG00000061458.8	58.6029966915146	25.5830357160379	61.6323817262032	47.7914580603034	45.032657788233	37.5629740239573	25.6893182318836	30.6337723281048
ENSMUSG00000061461.8	116.575853633658	88.6269451591312	75.3284665542484	95.5829161206068	87.8136826870544	39.4892803841602	69.8749455907234	71.1141143331004
ENSMUSG00000061462.11	13366.5243636603	21447.7207285098	45006.7043534392	29718.4664930988	32591.260257789	33253.8266961833	43598.8833304236	47814.9423509819
ENSMUSG00000061474.7	15.123353984907	10.0504783170149	9.58725937963161	6.08254920767498	7.88071511294078	13.4841445214206	10.2757272927534	7.6584430820262
ENSMUSG00000061477.3	11.3425154886802	15.532557399023	10.9568678624361	17.3787120219285	5.62908222352913	13.4841445214206	12.3308727513041	8.75250637945851
ENSMUSG00000061479.11	21.4247514786182	19.1872767870284	10.9568678624361	19.1165832241214	18.0130631152932	15.4104508816235	30.8271818782603	16.4109494614847
ENSMUSG00000061482.6	1.26027949874225	6.39575892900947	0	3.4757424043857	1.12581644470583	9.63153180101469	13.3584454805795	4.37625318972926
ENSMUSG00000061489.2	0	0	0	0	0	0	0	0
ENSMUSG00000061490.5	0	0	0	0	0	0	0	0
ENSMUSG00000061517.8	0	0	0	0	0	0	0	0
ENSMUSG00000061518.6	51.0413196990611	26.4967155630392	64.3715986918123	46.922522459207	48.4101071223505	22.1525231423338	26.7168909611589	18.5990760563493
ENSMUSG00000061520.3	0	0	0	0	0	3.85261272040588	0	0
ENSMUSG00000061524.8	0	0	0	0	0	0	0	0
ENSMUSG00000061525.2	0	0	0	0	0	0	1.02757272927534	0
ENSMUSG00000061527.6	0	0	0	0	0	0	0	0
ENSMUSG00000061531.8	0.630139749371125	0	0	0	0	34.6735144836529	27.7444636904343	20.787202651214
ENSMUSG00000061533.11	48.5207607015766	48.4250318910717	73.9588580714439	91.2382381151247	46.1584742329389	76.0891012280161	29.799609148985	21.8812659486463
ENSMUSG00000061535.10	10.082235989938	2.74103954100406	2.73921696560903	0.868935601096425	2.25163288941165	0.963153180101469	0	0
ENSMUSG00000061536.8	10.7123757393091	10.0504783170149	1.36960848280452	1.73787120219285	4.5032657788233	2.88945954030441	3.08271818782603	2.18812659486463
ENSMUSG00000061540.3	0.630139749371125	1.82735969400271	0	0	1.12581644470583	6.74207226071028	13.3584454805795	0
ENSMUSG00000061544.9	24.5754502254739	20.1009566340298	24.6529526904813	12.16509841535	21.3905124494107	7.70522544081175	3.08271818782603	0
ENSMUSG00000061549.5	0	0	0	0	0	0	0	0
ENSMUSG00000061559.11	43.4796427066076	38.3745535740568	27.3921696560903	33.8884884427606	32.648676896469	68.3838757872043	63.7095092150713	24.0693925435109
ENSMUSG00000061561.4	0	0	0	0	0	0	0	0
ENSMUSG00000061576.11	0	0	0	0	0	0	4.11029091710138	0
ENSMUSG00000061577.7	0	0	0	0.868935601096425	0	0	0	0
ENSMUSG00000061578.8	0	0.913679847001353	1.36960848280452	4.34467800548213	0	0.963153180101469	2.05514545855069	1.09406329743231
ENSMUSG00000061584.6	0	0	0	0	0	0	0	0
ENSMUSG00000061589.10	2533.16179247192	2984.99206015342	4326.59319717947	3676.46652823898	2328.18840765165	3428.82532116123	4145.22838989674	4851.07666081488
ENSMUSG00000061601.11	78.1373289220195	166.289732154246	136.960848280452	177.262862623671	127.217258251758	45.268199464769	32.882327336811	28.4456457332402
ENSMUSG00000061602.2	0	0	0	0	0	0	0	0
ENSMUSG00000061603.7	3136.83567236946	2331.71096954745	3102.16321355223	2837.94367318093	1964.54969601167	2244.14690963642	2492.89144122198	1928.83359337317
ENSMUSG00000061607.10	97.6716611525244	134.310937509199	169.83145186776	188.559025437924	101.323480023524	141.583517474916	100.702127468984	205.683899917275
ENSMUSG00000061613.8	30.246707969814	42.0292729620622	65.7412071746168	58.2186852734605	66.4231702376437	72.2364885076102	112.005427491013	45.9506584921572
ENSMUSG00000061614.2	0	0	0	0	0	0	0	0
ENSMUSG00000061615.2	0	0	0	0	0	2.88945954030441	0	0
ENSMUSG00000061616.4	0	0	0	0	0	0.963153180101469	0	0
ENSMUSG00000061619.3	0	0	0	0	0	0	0	0
ENSMUSG00000061626.5	0	0	0	0	0	0	0	0
ENSMUSG00000061633.3	0	0	0	0	0	0	0	0
ENSMUSG00000061637.2	0	0	0	0	0	0.963153180101469	0	0
ENSMUSG00000061650.6	8.19181674182462	6.39575892900947	5.47843393121806	10.4272272131571	5.62908222352913	10.5946849811162	5.13786364637672	1.09406329743231
ENSMUSG00000061653.1	0	0	0	0	0	0	0	0
ENSMUSG00000061654.3	0	0	0	0	0	0.963153180101469	0	0
ENSMUSG00000061665.6	557.673678193446	454.098883959672	345.141337666738	347.57424043857	405.293920094097	418.008480164038	299.023664219125	350.10025517834
ENSMUSG00000061666.6	48.5207607015766	29.2377551040433	28.7617781388948	57.3497496723641	50.6617400117622	10.5946849811162	12.3308727513041	5.47031648716157
ENSMUSG00000061689.11	299.316380951284	482.422959216714	868.331778098063	404.923990110934	480.723621889388	1881.03816073817	1517.72492113968	1864.28385882466
ENSMUSG00000061701.7	0	0	0	0	0	0	0	0
