name	ensembl_gene_id	external_gene_name
SRR1258429.filtered.BAM_peak_3137	ENSMUSG00000020755	Sap30bp
SRR1258429.filtered.BAM_peak_2913	ENSMUSG00000020803	Txndc17
SRR1258429.filtered.BAM_peak_2944	ENSMUSG00000020832	Eral1
SRR1258429.filtered.BAM_peak_2936	ENSMUSG00000020840	Blmh
SRR1258429.filtered.BAM_peak_3023	ENSMUSG00000020864	Ankrd40
SRR1258429.filtered.BAM_peak_3077	ENSMUSG00000020921	Tmem101
SRR1258429.filtered.BAM_peak_3299	ENSMUSG00000020978	Klhdc2
SRR1258429.filtered.BAM_peak_3288	ENSMUSG00000020993	Trappc6b
SRR1258429.filtered.BAM_peak_3284	ENSMUSG00000021024	Psma6
SRR1258429.filtered.BAM_peak_3369	ENSMUSG00000021039	Snw1
SRR1258429.filtered.BAM_peak_3313	ENSMUSG00000021103	Mnat1
SRR1258429.filtered.BAM_peak_3334	ENSMUSG00000015143	Actn1
SRR1258429.filtered.BAM_peak_3393	ENSMUSG00000021179	Nrde2
SRR1258429.filtered.BAM_peak_3400	ENSMUSG00000021188	Trip11
SRR1258429.filtered.BAM_peak_3401	ENSMUSG00000021189	Atxn3
SRR1258429.filtered.BAM_peak_3353	ENSMUSG00000021235	Coq6
SRR1258429.filtered.BAM_peak_3354	ENSMUSG00000021240	Abcd4
SRR1258429.filtered.BAM_peak_3355	ENSMUSG00000021243	Fcf1
SRR1258429.filtered.BAM_peak_3415	ENSMUSG00000021264	Yy1
SRR1258429.filtered.BAM_peak_3520	ENSMUSG00000021357	Exoc2
SRR1258429.filtered.BAM_peak_3542	ENSMUSG00000021368	Tbc1d7
SRR1258429.filtered.BAM_peak_3559	ENSMUSG00000021392	Nol8
SRR1258429.filtered.BAM_peak_3529	ENSMUSG00000021420	Fars2
SRR1258429.filtered.BAM_peak_3537	ENSMUSG00000021432	Slc35b3
SRR1258429.filtered.BAM_peak_3565	ENSMUSG00000021468	Sptlc1
SRR1258429.filtered.BAM_peak_3575	ENSMUSG00000021484	Lman2
SRR1258429.filtered.BAM_peak_3592	ENSMUSG00000021555	Naa35
SRR1258429.filtered.BAM_peak_3631	ENSMUSG00000021576	Pdcd6
SRR1258429.filtered.BAM_peak_3628	ENSMUSG00000021610	Clptm1l
SRR1258429.filtered.BAM_peak_3682	ENSMUSG00000021645	Smn1
SRR1258429.filtered.BAM_peak_3679	ENSMUSG00000021650	Ptcd2
SRR1258429.filtered.BAM_peak_3674	ENSMUSG00000021666	Gfm2
SRR1258429.filtered.BAM_peak_3671	ENSMUSG00000021681	Aggf1
